,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.15,1.56,0.0,0.0,0.0,0.0,0.38,0.08,1.04,0.0,0.56,0.0,0.15,0.28,0.43,0.0,0
1,1,0.0,0.05,1.47,0.01,0.0,0.0,0.0,0.34,0.05,0.97,0.05,0.83,0.0,0.11,0.13,0.53,0.0,0
2,2,0.0,0.0,1.38,0.01,0.0,0.0,0.0,0.32,0.02,0.92,0.1,0.96,0.0,0.07,0.04,0.6,0.0,0
3,3,0.0,0.0,1.3,0.02,0.0,0.0,0.0,0.47,0.0,0.87,0.13,0.86,0.0,0.01,0.31,0.82,0.0,0
4,4,0.0,0.0,1.23,0.02,0.0,0.0,0.0,0.64,0.0,0.99,0.08,0.83,0.0,0.01,0.69,1.09,0.0,0
5,5,0.0,0.0,1.19,0.02,0.0,0.0,0.0,0.8,0.0,1.05,0.05,0.75,0.0,0.0,1.06,1.37,0.0,0
6,6,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.64,0.0,1.01,0.13,0.9,0.0,0.0,0.77,1.25,0.0,0
7,7,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.45,0.0,0.94,0.26,1.13,0.0,0.02,0.4,0.97,0.0,0
8,8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.26,0.0,0.88,0.38,1.4,0.0,0.02,0.02,0.69,0.0,0
9,9,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.42,0.0,1.1,0.28,1.32,0.07,0.02,0.27,0.85,0.0,0
10,10,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.61,0.0,1.28,0.15,1.13,0.17,0.0,0.5,1.1,0.0,0
11,11,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.8,0.0,1.45,0.08,0.94,0.29,0.0,0.77,1.31,0.0,0
12,12,0.0,0.0,1.43,0.03,0.0,0.0,0.0,0.85,0.02,1.51,0.06,0.92,0.39,0.0,0.89,1.23,0.0,0
13,13,0.0,0.0,1.52,0.07,0.0,0.0,0.0,0.91,0.04,1.61,0.06,0.89,0.45,0.0,1.07,1.15,0.0,0
14,14,0.0,0.0,1.54,0.1,0.0,0.0,0.0,0.97,0.05,1.73,0.0,0.84,0.49,0.0,1.2,1.1,0.0,0
15,15,0.02,0.0,1.48,0.08,0.0,0.0,0.0,0.99,0.03,1.53,0.0,0.78,0.31,0.0,1.02,0.82,0.0,0
16,16,0.02,0.0,1.45,0.03,0.0,0.0,0.0,1.01,0.01,1.34,0.0,0.72,0.15,0.0,0.83,0.53,0.0,0
17,17,0.02,0.0,1.42,0.0,0.0,0.0,0.0,1.03,0.0,1.13,0.0,0.64,0.0,0.0,0.66,0.23,0.0,0
18,18,0.0,0.0,1.43,0.0,0.0,0.0,0.0,1.04,0.0,1.12,0.0,0.65,0.0,0.0,0.68,0.25,0.0,0
19,19,0.02,0.06,1.39,0.0,0.0,0.0,0.0,0.81,0.0,0.79,0.0,0.57,0.0,0.0,0.58,0.21,0.0,0
