,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.12,0.0,0.1,0.05,0.0,0.65,1.1,0.6,0.13,0.0,0.0,0.0,0.1,0.09,0.59,0
1,1,0.0,0.28,0.4,0.0,0.09,0.24,0.0,0.76,1.15,0.65,0.2,0.0,0.02,0.0,0.04,0.14,0.7,0
2,2,0.0,0.51,0.52,0.0,0.08,0.34,0.0,0.81,1.2,0.63,0.26,0.0,0.03,0.0,0.04,0.16,0.8,0
3,3,0.0,0.62,0.5,0.0,0.1,0.34,0.0,0.81,1.22,0.54,0.25,0.0,0.06,0.0,0.06,0.15,0.85,0
4,4,0.0,0.63,0.48,0.0,0.11,0.34,0.0,0.78,1.22,0.53,0.21,0.0,0.06,0.0,0.05,0.1,0.83,0
5,5,0.0,0.54,0.48,0.0,0.11,0.36,0.0,0.81,1.22,0.52,0.15,0.0,0.07,0.0,0.02,0.05,0.81,0
6,6,0.0,0.48,0.47,0.0,0.1,0.36,0.0,0.84,1.23,0.52,0.17,0.0,0.06,0.0,0.0,0.03,0.82,0
7,7,0.0,0.5,0.48,0.0,0.1,0.29,0.0,0.89,1.24,0.52,0.19,0.0,0.08,0.0,0.01,0.05,0.81,0
8,8,0.0,0.53,0.51,0.0,0.08,0.15,0.0,0.9,1.12,0.54,0.14,0.0,0.06,0.0,0.05,0.39,0.73,0
9,9,0.01,0.58,0.48,0.0,0.04,0.07,0.0,0.79,0.88,0.37,0.07,0.0,0.04,0.0,0.05,0.58,0.56,0
10,10,0.01,0.6,0.41,0.0,0.0,0.0,0.0,0.68,0.66,0.2,0.0,0.0,0.0,0.0,0.04,0.77,0.46,0
11,11,0.01,0.64,0.37,0.0,0.0,0.0,0.0,0.57,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.44,0
12,12,0.0,0.68,0.46,0.0,0.0,0.0,0.0,0.54,0.54,0.05,0.0,0.0,0.0,0.0,0.04,0.77,0.45,0
13,13,0.0,0.68,0.49,0.0,0.0,0.0,0.0,0.53,0.59,0.14,0.12,0.0,0.0,0.0,0.04,0.68,0.4,0
14,14,0.0,0.61,0.46,0.0,0.0,0.0,0.0,0.55,0.71,0.25,0.23,0.0,0.02,0.0,0.04,0.46,0.37,0
15,15,0.0,0.56,0.38,0.0,0.0,0.0,0.0,0.62,0.81,0.27,0.31,0.0,0.04,0.0,0.03,0.12,0.37,0
16,16,0.0,0.67,0.38,0.0,0.0,0.0,0.0,0.71,0.84,0.23,0.22,0.0,0.08,0.0,0.13,0.04,0.39,0
17,17,0.0,0.82,0.4,0.0,0.0,0.0,0.0,0.75,0.81,0.17,0.14,0.0,0.12,0.0,0.23,0.12,0.41,0
