,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.35,0.34,0.0,0.21,0.0,0.0,0
1,1,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.46,0.23,0.09,0.07,0.35,0.0,0
2,2,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.12,0.09,0.15,0.68,0.0,0
3,3,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.3,0.0,0.0,0.48,1.07,0.0,0
4,4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.24,0.0,0.0,0.88,1.4,0.0,0
5,5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.25,0.01,0.0,1.14,1.61,0.0,0
6,6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.25,0.02,0.0,1.24,1.7,0.0,0
7,7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.17,0.03,0.0,1.08,1.34,0.0,0
8,8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.17,0.02,0.0,0.85,0.79,0.0,0
9,9,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.27,0.0,0.0,0.14,0.01,0.0,0.52,0.2,0.03,0
10,10,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.32,0.0,0.0,0.17,0.0,0.0,0.38,0.0,0.07,0
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.39,0.0,0.0,0.12,0.02,0.0,0.28,0.0,0.33,0
12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.46,0.0,0.0,0.09,0.02,0.0,0.3,0.0,0.65,0
