,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
19,19,0.0,0.03,0.17,0.0,0.0,0.07,0.0,0.04,0.46,1.17,0.02,0.47,0.3,0.58,0.33,0.18,0.0,0
20,20,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.41,1.31,0.0,0.66,0.26,0.34,0.43,0.07,0.0,0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.35,0.0,0.8,0.14,0.12,0.56,0.06,0.0,0
22,22,0.02,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.22,1.32,0.04,0.88,0.09,0.02,0.46,0.12,0.0,0
23,23,0.02,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.11,1.2,0.14,0.95,0.13,0.0,0.23,0.19,0.0,0
24,24,0.02,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.0,1.09,0.2,1.0,0.18,0.0,0.0,0.26,0.0,0
25,25,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.0,1.03,0.22,1.01,0.21,0.0,0.0,0.27,0.0,0
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.17,0.98,0.21,0.0,0.0,0.3,0.0,0
27,27,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.12,0.9,0.13,0.01,0.0,0.23,0.0,0
28,28,0.01,0.16,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.05,0.79,0.07,0.01,0.0,0.2,0.0,0
29,29,0.09,0.24,0.33,0.0,0.0,0.19,0.1,0.0,0.0,1.16,0.09,0.72,0.0,0.08,0.0,0.1,0.0,0
30,30,0.24,0.29,0.33,0.0,0.0,0.28,0.14,0.01,0.03,1.13,0.16,0.68,0.0,0.06,0.0,0.07,0.0,0
31,31,0.3,0.2,0.37,0.0,0.0,0.32,0.2,0.01,0.03,0.78,0.16,0.46,0.0,0.08,0.23,0.01,0.0,0
32,32,0.35,0.11,0.14,0.0,0.0,0.24,0.15,0.01,0.03,0.65,0.06,0.21,0.0,0.03,0.42,0.01,0.0,0
33,33,0.34,0.0,0.2,0.0,0.0,0.39,0.12,0.01,0.03,0.3,0.0,0.0,0.0,0.03,0.73,0.01,0.0,0
34,34,0.42,0.0,0.31,0.0,0.0,0.49,0.07,0.01,0.04,0.29,0.0,0.0,0.0,0.01,0.78,0.01,0.0,0
35,35,0.44,0.0,0.43,0.0,0.0,0.55,0.02,0.02,0.09,0.23,0.0,0.0,0.0,0.0,0.84,0.01,0.0,0
36,36,0.38,0.0,0.31,0.03,0.0,0.46,0.08,0.01,0.07,0.33,0.0,0.0,0.0,0.0,0.76,0.07,0.0,0
37,37,0.37,0.01,0.15,0.1,0.0,0.35,0.15,0.01,0.06,0.45,0.0,0.0,0.0,0.0,0.51,0.07,0.0,0
38,38,0.36,0.01,0.0,0.12,0.0,0.18,0.21,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.36,0.08,0.0,0
39,39,0.43,0.02,0.0,0.13,0.0,0.03,0.22,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.22,0.03,0.0,0
40,40,0.44,0.02,0.0,0.11,0.0,0.0,0.24,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.27,0.05,0.0,0
41,41,0.31,0.02,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.75,0.0,0.01,0.0,0.06,0.22,0.04,0.0,0
42,42,0.2,0.02,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.56,0.0,0.01,0.0,0.1,0.15,0.02,0.0,0
43,43,0.05,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.33,0.0,0.06,0.0,0.17,0.11,0.02,0.0,0
44,44,0.08,0.0,0.0,0.04,0.0,0.0,0.13,0.0,0.0,0.25,0.0,0.08,0.0,0.11,0.12,0.08,0.0,0
45,45,0.03,0.0,0.0,0.16,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.11,0.11,0.13,0.0,0
46,46,0.03,0.0,0.0,0.26,0.0,0.0,0.05,0.0,0.0,0.18,0.0,0.07,0.0,0.08,0.07,0.18,0.0,0
47,47,0.0,0.0,0.0,0.34,0.0,0.0,0.01,0.0,0.0,0.14,0.0,0.08,0.0,0.12,0.04,0.14,0.0,0
48,48,0.0,0.0,0.0,0.4,0.0,0.0,0.01,0.0,0.0,0.16,0.0,0.14,0.0,0.08,0.16,0.24,0.0,0
49,49,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.0,0.05,0.25,0.29,0.0,0
50,50,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.19,0.0,0.02,0.35,0.39,0.0,0
51,51,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.17,0.0,0.02,0.28,0.3,0.0,0
52,52,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.21,0.0,0.01,0.2,0.36,0.0,0
53,53,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.23,0.0,0.0,0.09,0.42,0.0,0
54,54,0.08,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.28,0.0,0.35,0.0,0.0,0.2,0.61,0.0,0
55,55,0.15,0.0,0.0,0.01,0.0,0.09,0.01,0.0,0.0,0.16,0.0,0.39,0.0,0.0,0.38,0.66,0.0,0
56,56,0.22,0.0,0.0,0.01,0.0,0.14,0.01,0.0,0.0,0.07,0.0,0.47,0.0,0.0,0.56,0.76,0.0,0
57,57,0.14,0.0,0.0,0.06,0.0,0.12,0.04,0.0,0.0,0.09,0.0,0.34,0.0,0.0,0.39,0.6,0.0,0
58,58,0.07,0.0,0.0,0.08,0.0,0.17,0.07,0.0,0.0,0.2,0.0,0.26,0.0,0.0,0.2,0.41,0.0,0
59,59,0.1,0.0,0.0,0.15,0.0,0.12,0.08,0.0,0.0,0.41,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0
60,60,0.23,0.0,0.0,0.16,0.0,0.08,0.08,0.0,0.0,0.57,0.0,0.11,0.0,0.0,0.01,0.04,0.0,0
61,61,0.33,0.0,0.0,0.23,0.0,0.03,0.07,0.0,0.0,0.65,0.0,0.08,0.0,0.0,0.02,0.0,0.0,0
62,62,0.31,0.0,0.0,0.2,0.0,0.04,0.15,0.0,0.0,0.63,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0
63,63,0.29,0.0,0.0,0.21,0.0,0.01,0.19,0.0,0.0,0.59,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0
64,64,0.29,0.0,0.0,0.11,0.0,0.01,0.23,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0
65,65,0.39,0.0,0.0,0.11,0.0,0.08,0.19,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0
66,66,0.55,0.0,0.0,0.04,0.0,0.08,0.12,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.29,0.05,0.0,0
67,67,0.67,0.0,0.0,0.04,0.0,0.08,0.06,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.48,0.05,0.0,0
68,68,0.77,0.0,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.55,0.05,0.0,0
69,69,0.69,0.0,0.0,0.0,0.0,0.03,0.11,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0
70,70,0.65,0.0,0.0,0.0,0.0,0.03,0.16,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0
71,71,0.69,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.5,0.06,0.0,0
72,72,0.85,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.42,0.1,0.0,0
73,73,1.21,0.19,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.22,0.12,0.0,0
74,74,1.42,0.32,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.12,0.06,0.0,0
75,75,1.48,0.45,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.06,0.01,0.1,0.0,0.0,0.0,0.21,0.0,0
76,76,1.43,0.46,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.25,0.01,0.1,0.0,0.0,0.03,0.19,0.0,0
77,77,1.32,0.44,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.41,0.01,0.1,0.0,0.0,0.04,0.18,0.0,0
78,78,1.42,0.5,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.46,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0
79,79,1.41,0.31,0.0,0.04,0.0,0.1,0.0,0.0,0.0,0.71,0.0,0.09,0.0,0.0,0.03,0.11,0.0,0
80,80,1.53,0.26,0.0,0.01,0.0,0.13,0.0,0.0,0.0,0.88,0.0,0.09,0.0,0.0,0.09,0.32,0.0,0
81,81,1.58,0.26,0.0,0.0,0.0,0.16,0.0,0.0,0.0,1.16,0.0,0.09,0.0,0.0,0.17,0.55,0.0,0
82,82,1.64,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.31,0.65,0.0,0
83,83,1.65,0.6,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.21,0.0,0.16,0.0,0.01,0.24,0.59,0.0,0
84,84,1.65,0.62,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.22,0.03,0.39,0.07,0.01,0.14,0.53,0.0,0
85,85,1.64,0.72,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.27,0.06,0.66,0.1,0.01,0.0,0.52,0.0,0
86,86,1.56,0.71,0.0,0.0,0.0,0.08,0.0,0.06,0.19,1.45,0.1,0.7,0.1,0.0,0.2,0.96,0.0,0
87,87,1.51,0.82,0.0,0.0,0.0,0.11,0.0,0.11,0.38,1.64,0.13,0.65,0.03,0.0,0.38,1.39,0.0,0
88,88,1.54,0.79,0.09,0.0,0.0,0.11,0.0,0.42,0.7,1.55,0.24,0.7,0.0,0.0,0.8,2.05,0.0,0
89,89,2.13,0.77,0.09,0.0,0.0,0.04,0.0,0.68,0.74,1.18,0.37,1.35,0.29,0.0,1.04,2.3,0.0,0
90,90,2.81,0.88,0.14,0.0,0.0,0.02,0.0,0.97,0.81,0.95,0.46,2.22,0.5,0.0,1.08,2.56,0.0,0
91,91,3.34,1.11,0.04,0.01,0.0,0.01,0.0,0.99,0.8,0.85,0.45,2.73,0.75,0.0,1.28,2.55,0.1,0
92,92,3.33,1.2,0.08,0.01,0.0,0.07,0.0,1.04,0.85,0.89,0.55,2.6,0.75,0.0,1.38,2.62,0.15,0
93,93,2.7,1.12,0.03,0.01,0.0,0.07,0.0,0.75,0.69,1.08,0.48,1.83,0.71,0.0,1.38,2.06,0.15,0
94,94,2.16,0.96,0.03,0.0,0.0,0.17,0.0,0.51,0.51,1.35,0.33,1.21,0.48,0.0,1.01,1.58,0.06,0
95,95,1.62,1.01,0.0,0.0,0.0,0.16,0.0,0.14,0.25,1.68,0.06,0.69,0.19,0.19,0.46,0.82,0.0,0
96,96,1.52,1.03,0.0,0.0,0.0,0.22,0.0,0.1,0.15,1.58,0.0,0.7,0.02,0.37,0.25,0.57,0.0,0
97,97,1.16,0.76,0.0,0.0,0.02,0.29,0.0,0.0,0.03,1.44,0.0,0.8,0.0,0.52,0.0,0.2,0.0,0
98,98,0.66,0.41,0.0,0.0,0.02,0.36,0.05,0.0,0.0,1.31,0.0,0.87,0.0,0.51,0.0,0.07,0.0,0
99,99,0.26,0.11,0.0,0.0,0.02,0.44,0.11,0.0,0.0,1.28,0.0,0.88,0.0,0.49,0.0,0.09,0.0,0
100,100,0.18,0.3,0.0,0.0,0.0,0.4,0.14,0.0,0.0,1.21,0.0,0.82,0.0,0.51,0.0,0.09,0.0,0
101,101,0.18,0.44,0.0,0.0,0.01,0.36,0.09,0.0,0.0,1.1,0.0,0.76,0.0,0.56,0.0,0.08,0.0,0
102,102,0.16,0.58,0.0,0.0,0.02,0.24,0.03,0.0,0.0,1.0,0.0,0.65,0.0,0.63,0.0,0.0,0.0,0
103,103,0.07,0.44,0.0,0.0,0.03,0.14,0.1,0.0,0.0,0.99,0.0,0.65,0.0,0.72,0.0,0.0,0.0,0
104,104,0.03,0.27,0.0,0.0,0.02,0.09,0.15,0.0,0.0,0.96,0.0,0.71,0.0,0.75,0.0,0.02,0.0,0
105,105,0.0,0.15,0.0,0.0,0.02,0.07,0.25,0.0,0.0,0.88,0.0,0.76,0.0,0.75,0.0,0.02,0.0,0
106,106,0.02,0.33,0.01,0.03,0.01,0.04,0.28,0.0,0.0,0.77,0.0,0.73,0.0,0.7,0.0,0.08,0.0,0
107,107,0.04,0.37,0.01,0.26,0.0,0.01,0.27,0.0,0.0,0.66,0.0,0.79,0.0,0.63,0.0,0.17,0.0,0
108,108,0.05,0.33,0.02,0.51,0.0,0.0,0.23,0.0,0.0,0.61,0.0,0.93,0.0,0.55,0.0,0.19,0.0,0
109,109,0.03,0.09,0.01,0.79,0.0,0.0,0.15,0.0,0.0,0.58,0.0,1.01,0.0,0.59,0.01,0.33,0.0,0
110,110,0.01,0.03,0.01,0.8,0.0,0.0,0.17,0.0,0.0,0.55,0.0,0.9,0.0,0.5,0.13,0.39,0.0,0
111,111,0.0,0.0,0.0,0.89,0.0,0.0,0.22,0.0,0.0,0.55,0.0,0.77,0.0,0.37,0.28,0.46,0.0,0
112,112,0.0,0.0,0.0,0.76,0.0,0.0,0.23,0.0,0.0,0.67,0.0,0.7,0.02,0.14,0.35,0.4,0.0,0
113,113,0.13,0.0,0.0,0.51,0.0,0.0,0.2,0.0,0.0,0.7,0.0,0.6,0.02,0.03,0.35,0.32,0.0,0
114,114,0.13,0.0,0.0,0.18,0.0,0.0,0.35,0.0,0.0,0.83,0.0,0.34,0.02,0.0,0.33,0.27,0.0,0
115,115,0.18,0.0,0.0,0.0,0.0,0.12,0.36,0.0,0.0,0.81,0.0,0.17,0.0,0.0,0.39,0.19,0.0,0
116,116,0.33,0.03,0.0,0.0,0.0,0.33,0.42,0.0,0.0,0.63,0.0,0.05,0.0,0.0,0.64,0.11,0.26,0
117,117,0.62,0.08,0.01,0.0,0.0,0.62,0.26,0.0,0.0,0.38,0.0,0.05,0.0,0.0,0.91,0.08,0.53,0
118,118,0.98,0.08,0.02,0.0,0.0,0.5,0.19,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.23,0.1,1.03,0
119,119,1.11,0.05,0.12,0.0,0.0,0.54,0.19,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.22,0.24,1.07,0
120,120,1.22,0.0,0.21,0.0,0.0,0.56,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.17,0.33,1.13,0
121,121,1.13,0.0,0.29,0.0,0.0,0.81,0.27,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.1,0.4,0.91,0
122,122,1.01,0.0,0.33,0.0,0.0,0.8,0.26,0.0,0.0,0.0,0.19,0.0,0.0,0.0,1.12,0.44,0.89,0
123,123,0.89,0.0,0.48,0.0,0.0,0.74,0.26,0.0,0.0,0.0,0.27,0.03,0.0,0.0,1.17,0.48,0.79,0
124,124,0.89,0.0,0.6,0.0,0.0,0.76,0.22,0.0,0.0,0.0,0.16,0.03,0.0,0.0,1.13,0.63,0.54,0
125,125,0.85,0.0,0.67,0.0,0.0,0.73,0.2,0.0,0.0,0.0,0.08,0.03,0.0,0.0,1.06,0.76,0.34,0
126,126,0.76,0.0,0.59,0.0,0.0,0.71,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.96,0.1,0
127,127,0.6,0.0,0.47,0.0,0.0,0.69,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.04,0.08,0
128,128,0.5,0.0,0.45,0.0,0.0,0.76,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.08,0.0,0
129,129,0.5,0.0,0.4,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.12,0.0,0
130,130,0.5,0.0,0.43,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.18,0.01,0
131,131,0.48,0.0,0.43,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.28,0.01,0
132,132,0.46,0.0,0.48,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.34,0.01,0
133,133,0.35,0.0,0.6,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.39,0.1,0
134,134,0.22,0.0,0.67,0.0,0.0,0.63,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.58,1.47,0.1,0
135,135,0.09,0.0,0.75,0.0,0.0,0.72,0.0,0.0,0.0,0.18,0.0,0.22,0.0,0.0,0.48,1.52,0.1,0
136,136,0.03,0.0,0.66,0.0,0.0,0.59,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.11,0.27,1.05,0.0,0
137,137,0.03,0.0,0.62,0.0,0.0,0.51,0.0,0.0,0.0,0.39,0.0,0.4,0.01,0.18,0.13,0.56,0.0,0
138,138,0.0,0.0,0.57,0.0,0.0,0.43,0.0,0.0,0.0,0.44,0.0,0.4,0.01,0.27,0.0,0.07,0.0,0
139,139,0.0,0.0,0.53,0.0,0.0,0.33,0.0,0.0,0.0,0.43,0.0,0.43,0.14,0.25,0.0,0.12,0.0,0
140,140,0.0,0.0,0.48,0.0,0.0,0.34,0.0,0.0,0.0,0.47,0.0,0.43,0.27,0.28,0.0,0.17,0.02,0
141,141,0.0,0.0,0.46,0.0,0.0,0.34,0.0,0.0,0.0,0.54,0.0,0.47,0.34,0.26,0.0,0.36,0.03,0
142,142,0.0,0.0,0.45,0.0,0.0,0.5,0.0,0.0,0.01,0.68,0.0,0.62,0.22,0.17,0.09,0.89,0.06,0
143,143,0.0,0.0,0.48,0.0,0.0,0.58,0.0,0.0,0.04,0.73,0.0,0.74,0.09,0.07,0.16,1.33,0.12,0
144,144,0.0,0.0,0.45,0.0,0.0,0.61,0.0,0.0,0.05,0.74,0.0,0.84,0.05,0.0,0.23,1.68,0.21,0
145,145,0.0,0.0,0.48,0.0,0.0,0.56,0.0,0.0,0.09,0.71,0.0,0.82,0.13,0.0,0.21,1.57,0.25,0
146,146,0.0,0.0,0.47,0.0,0.0,0.39,0.0,0.0,0.09,0.75,0.0,0.81,0.21,0.0,0.19,1.52,0.23,0
147,147,0.0,0.0,0.46,0.0,0.0,0.25,0.0,0.0,0.09,0.82,0.0,0.75,0.22,0.01,0.13,1.29,0.25,0
148,148,0.0,0.0,0.45,0.0,0.0,0.18,0.0,0.0,0.07,0.86,0.0,0.72,0.18,0.01,0.06,1.11,0.31,0
149,149,0.0,0.0,0.38,0.0,0.0,0.13,0.0,0.0,0.13,0.86,0.0,0.68,0.15,0.16,0.01,0.74,0.32,0
150,150,0.0,0.0,0.33,0.0,0.0,0.08,0.0,0.0,0.17,0.85,0.0,0.7,0.22,0.3,0.0,0.53,0.27,0
151,151,0.0,0.0,0.32,0.0,0.0,0.08,0.0,0.0,0.19,0.95,0.01,0.76,0.18,0.3,0.18,0.64,0.21,0
152,152,0.0,0.0,0.36,0.0,0.0,0.15,0.0,0.0,0.15,1.11,0.02,0.86,0.12,0.15,0.35,0.9,0.19,0
153,153,0.0,0.0,0.41,0.0,0.0,0.42,0.0,0.0,0.22,1.26,0.02,0.88,0.04,0.0,0.48,0.93,0.57,0
154,154,0.0,0.0,0.4,0.0,0.0,0.63,0.0,0.0,0.31,1.27,0.02,0.81,0.04,0.0,0.43,0.7,0.98,0
155,155,0.0,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.43,1.32,0.0,0.58,0.14,0.0,0.46,0.38,1.33,0
156,156,0.0,0.0,0.51,0.0,0.0,0.33,0.0,0.0,0.43,1.36,0.0,0.45,0.22,0.0,0.5,0.25,1.25,0
157,157,0.0,0.0,0.6,0.0,0.0,0.09,0.0,0.0,0.41,1.47,0.0,0.37,0.35,0.0,0.49,0.1,1.16,0
158,158,0.0,0.0,0.71,0.0,0.0,0.1,0.0,0.0,0.34,1.49,0.0,0.45,0.24,0.0,0.5,0.14,1.14,0
159,159,0.0,0.0,0.67,0.0,0.0,0.05,0.0,0.0,0.23,1.45,0.0,0.56,0.13,0.0,0.64,0.4,1.12,0
160,160,0.0,0.0,0.57,0.0,0.0,0.01,0.0,0.0,0.11,1.27,0.0,0.72,0.0,0.0,0.75,0.73,0.98,0
161,161,0.0,0.0,0.47,0.0,0.0,0.02,0.0,0.0,0.03,1.15,0.0,0.88,0.0,0.0,0.77,1.0,0.84,0
162,162,0.0,0.0,0.43,0.0,0.0,0.1,0.0,0.0,0.0,1.03,0.0,0.91,0.0,0.0,0.53,0.93,0.69,0
163,163,0.0,0.0,0.48,0.0,0.0,0.17,0.0,0.0,0.01,1.01,0.0,0.9,0.0,0.0,0.37,0.81,0.62,0
164,164,0.0,0.0,0.48,0.0,0.0,0.24,0.0,0.0,0.09,1.11,0.0,0.91,0.12,0.04,0.15,0.45,0.58,0
165,165,0.0,0.0,0.45,0.0,0.0,0.24,0.0,0.0,0.17,1.25,0.0,0.99,0.22,0.08,0.08,0.24,0.57,0
166,166,0.0,0.0,0.43,0.0,0.0,0.26,0.0,0.0,0.26,1.42,0.0,1.02,0.34,0.14,0.0,0.02,0.59,0
167,167,0.0,0.0,0.38,0.0,0.0,0.22,0.0,0.0,0.27,1.37,0.0,0.98,0.22,0.12,0.0,0.01,0.65,0
168,168,0.0,0.0,0.29,0.0,0.0,0.19,0.0,0.0,0.26,1.38,0.0,0.94,0.12,0.09,0.0,0.0,0.71,0
169,169,0.0,0.0,0.29,0.0,0.0,0.15,0.0,0.0,0.24,1.29,0.0,0.95,0.0,0.04,0.14,0.13,0.73,0
170,170,0.0,0.0,0.34,0.0,0.0,0.12,0.0,0.0,0.23,1.26,0.0,0.97,0.0,0.02,0.3,0.25,0.7,0
171,171,0.0,0.0,0.42,0.0,0.0,0.2,0.0,0.08,0.27,1.28,0.0,0.96,0.0,0.0,0.64,0.36,0.61,0
172,172,0.0,0.0,0.4,0.0,0.0,0.26,0.0,0.16,0.32,1.38,0.0,0.88,0.0,0.0,0.85,0.32,0.54,0
173,173,0.0,0.0,0.38,0.0,0.0,0.27,0.0,0.27,0.38,1.43,0.01,0.76,0.1,0.0,1.06,0.33,0.45,0
174,174,0.0,0.0,0.38,0.0,0.0,0.16,0.0,0.26,0.41,1.37,0.04,0.68,0.15,0.0,1.11,0.33,0.41,0
175,175,0.0,0.0,0.43,0.0,0.03,0.19,0.0,0.34,0.46,1.4,0.05,0.64,0.28,0.0,1.25,0.44,0.33,0
176,176,0.0,0.0,0.5,0.0,0.11,0.38,0.0,0.42,0.6,1.48,0.04,0.69,0.32,0.0,1.49,0.57,0.18,0
177,177,0.0,0.0,0.54,0.0,0.2,0.63,0.0,0.52,0.74,1.54,0.02,0.71,0.4,0.0,1.74,0.7,0.07,0
178,178,0.0,0.0,0.5,0.0,0.19,0.67,0.03,0.47,0.81,1.55,0.0,0.72,0.27,0.0,1.62,0.66,0.08,0
179,179,0.0,0.0,0.37,0.0,0.16,0.62,0.03,0.27,0.76,1.66,0.07,0.68,0.19,0.08,1.12,0.41,0.17,0
180,180,0.0,0.0,0.28,0.0,0.1,0.72,0.03,0.11,0.72,1.79,0.15,0.61,0.12,0.16,0.6,0.16,0.3,0
181,181,0.0,0.0,0.23,0.0,0.11,0.89,0.0,0.0,0.72,1.9,0.23,0.58,0.19,0.23,0.32,0.0,0.38,0
182,182,0.0,0.0,0.34,0.0,0.07,1.08,0.0,0.16,0.64,1.8,0.19,0.61,0.13,0.14,0.75,0.35,0.32,0
183,183,0.0,0.0,0.44,0.0,0.04,1.1,0.0,0.34,0.57,1.7,0.14,0.67,0.07,0.07,1.19,0.76,0.27,0
184,184,0.0,0.0,0.48,0.0,0.0,1.1,0.0,0.41,0.39,1.53,0.06,0.67,0.02,0.0,1.24,0.89,0.15,0
185,185,0.0,0.0,0.44,0.0,0.0,0.76,0.0,0.24,0.23,1.07,0.1,0.51,0.03,0.0,0.99,0.56,0.27,0
