,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.45,0.0,0.0,0.44,0.0,1.01,0.94,0.0,0.0,0.0,0.0,0.0,0.7,0.92,0.0,0
1,1,0.04,0.0,0.57,0.0,0.0,0.4,0.0,1.13,0.94,0.0,0.0,0.0,0.0,0.0,0.52,0.82,0.0,0
2,2,0.07,0.0,0.58,0.0,0.0,0.37,0.0,1.18,0.96,0.0,0.0,0.0,0.0,0.0,0.46,0.72,0.0,0
3,3,0.07,0.0,0.44,0.0,0.0,0.33,0.0,1.16,1.01,0.0,0.0,0.0,0.0,0.0,0.44,0.7,0.0,0
4,4,0.03,0.0,0.4,0.0,0.0,0.31,0.0,1.18,0.98,0.0,0.0,0.0,0.0,0.0,0.37,0.51,0.0,0
5,5,0.04,0.0,0.4,0.0,0.0,0.37,0.0,1.15,0.94,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.0,0
6,6,0.07,0.0,0.5,0.0,0.0,0.43,0.0,1.13,0.89,0.0,0.0,0.0,0.0,0.0,0.13,0.29,0.0,0
7,7,0.18,0.0,0.58,0.0,0.0,0.43,0.0,1.09,0.87,0.0,0.0,0.0,0.0,0.0,0.07,0.28,0.0,0
8,8,0.2,0.0,0.69,0.0,0.0,0.46,0.0,1.15,0.87,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.0,0
9,9,0.25,0.0,0.77,0.0,0.0,0.57,0.0,1.22,0.86,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.0,0
10,10,0.21,0.0,0.79,0.0,0.0,0.59,0.0,1.24,0.9,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0
11,11,0.28,0.0,0.74,0.0,0.0,0.61,0.0,1.22,0.88,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0
12,12,0.33,0.0,0.7,0.06,0.0,0.49,0.0,1.12,0.84,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0
13,13,0.47,0.0,0.67,0.06,0.0,0.46,0.0,1.06,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0
14,14,0.55,0.0,0.67,0.06,0.0,0.38,0.0,1.03,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0
15,15,0.59,0.0,0.65,0.0,0.0,0.33,0.0,1.06,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0
