,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.69,0.0,0.43,0.17,0.56,0.0,0.29,0.0,0.34,0.0,real
1,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.73,0.0,0.63,0.32,0.58,0.0,0.2,0.0,0.33,0.0,real
2,0.0,0.0,0.17,0.0,0.0,0.3,0.0,0.75,0.0,0.72,0.39,0.55,0.0,0.15,0.0,0.29,0.01,real
3,0.0,0.0,0.21,0.0,0.0,0.34,0.0,0.74,0.0,0.68,0.35,0.49,0.0,0.13,0.0,0.25,0.01,real
4,0.0,0.0,0.23,0.0,0.0,0.38,0.0,0.73,0.0,0.65,0.36,0.43,0.0,0.11,0.0,0.25,0.02,real
5,0.0,0.0,0.16,0.0,0.0,0.25,0.0,0.85,0.0,0.67,0.27,0.54,0.0,0.11,0.0,0.17,0.1,real
6,0.0,0.0,0.09,0.0,0.11,0.34,0.06,1.08,0.0,0.84,0.15,0.49,0.2,0.08,0.32,0.12,0.58,real
7,0.0,0.0,0.0,0.0,0.18,0.46,0.12,1.33,0.0,1.02,0.03,0.42,0.38,0.04,0.63,0.03,0.78,real
8,0.0,0.0,0.0,0.0,0.23,0.65,0.14,1.45,0.0,1.05,0.0,0.16,0.38,0.0,1.05,0.03,0.7,real
9,0.0,0.0,0.0,0.0,0.14,0.52,0.15,1.45,0.0,0.9,0.02,0.07,0.18,0.0,1.25,0.13,0.21,real
10,0.0,0.0,0.0,0.0,0.07,0.33,0.2,1.46,0.0,0.78,0.02,0.0,0.0,0.0,1.36,0.21,0.0,real
11,0.0,0.0,0.0,0.0,0.04,0.5,0.33,1.38,0.0,0.71,0.02,0.0,0.0,0.0,1.33,0.38,0.0,real
12,0.0,0.0,0.0,0.0,0.04,0.49,0.34,1.3,0.0,0.65,0.0,0.04,0.0,0.0,1.25,0.5,0.0,real
13,0.0,0.0,0.0,0.0,0.07,0.69,0.32,1.18,0.0,0.68,0.07,0.21,0.0,0.0,1.15,0.72,0.0,real
14,0.0,0.0,0.0,0.0,0.06,0.65,0.28,1.2,0.0,0.64,0.07,0.34,0.0,0.0,1.04,0.87,0.0,real
15,0.0,0.0,0.0,0.0,0.04,0.96,0.32,1.14,0.0,0.75,0.1,0.46,0.02,0.0,0.91,0.89,0.0,real
16,0.0,0.0,0.0,0.0,0.01,0.89,0.34,1.15,0.0,0.54,0.13,0.51,0.02,0.07,0.71,0.82,0.0,real
17,0.0,0.0,0.0,0.0,0.0,0.67,0.31,1.02,0.0,0.53,0.13,0.72,0.02,0.24,0.42,0.61,0.0,real
18,0.0,0.0,0.0,0.0,0.0,0.34,0.31,1.08,0.0,0.53,0.1,0.81,0.0,0.32,0.15,0.36,0.0,real
19,0.0,0.0,0.0,0.0,0.0,0.23,0.29,0.99,0.0,0.79,0.09,0.81,0.01,0.32,0.03,0.12,0.0,real
20,0.0,0.0,0.0,0.0,0.0,0.14,0.32,1.07,0.0,0.92,0.11,0.69,0.04,0.27,0.03,0.03,0.0,real
21,0.0,0.0,0.0,0.02,0.0,0.27,0.32,1.04,0.0,0.97,0.11,0.59,0.16,0.38,0.0,0.0,0.0,real
22,0.0,0.0,0.0,0.02,0.0,0.19,0.25,1.17,0.0,0.94,0.03,0.56,0.2,0.48,0.0,0.0,0.0,real
23,0.0,0.0,0.0,0.02,0.0,0.37,0.19,1.23,0.0,0.99,0.02,0.52,0.28,0.55,0.0,0.0,0.0,real
24,0.0,0.0,0.0,0.0,0.0,0.32,0.15,1.37,0.0,1.06,0.05,0.56,0.23,0.53,0.0,0.0,0.0,real
25,0.0,0.0,0.0,0.03,0.0,0.55,0.2,1.4,0.0,1.15,0.13,0.55,0.27,0.54,0.0,0.0,0.0,real
26,0.0,0.0,0.0,0.08,0.0,0.51,0.25,1.43,0.0,1.17,0.23,0.5,0.22,0.5,0.0,0.0,0.0,real
27,0.0,0.0,0.0,0.08,0.0,0.43,0.28,1.38,0.0,1.21,0.27,0.49,0.16,0.46,0.0,0.05,0.0,real
28,0.0,0.0,0.0,0.05,0.0,0.35,0.28,1.34,0.0,1.19,0.29,0.46,0.12,0.38,0.01,0.07,0.0,real
29,0.0,0.0,0.0,0.0,0.0,0.57,0.26,1.39,0.0,1.12,0.19,0.4,0.07,0.29,0.01,0.13,0.0,real
30,0.0,0.0,0.0,0.0,0.0,0.79,0.24,1.36,0.0,0.94,0.14,0.36,0.16,0.14,0.11,0.1,0.32,real
31,0.0,0.0,0.0,0.0,0.01,0.97,0.27,1.43,0.0,0.81,0.02,0.24,0.19,0.04,0.32,0.28,0.55,real
32,0.0,0.0,0.0,0.0,0.12,1.15,0.32,1.43,0.0,0.62,0.0,0.24,0.22,0.0,0.54,0.42,0.94,real
33,0.0,0.0,0.0,0.0,0.23,1.58,0.37,1.58,0.0,0.37,0.02,0.17,0.12,0.0,0.7,0.69,0.85,real
34,0.0,0.0,0.0,0.0,0.26,1.57,0.3,1.57,0.0,0.22,0.02,0.15,0.03,0.0,0.85,0.77,0.73,real
35,0.0,0.0,0.0,0.0,0.14,1.45,0.19,1.56,0.0,0.11,0.02,0.09,0.0,0.0,1.02,0.97,0.35,real
