,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.57,0.0,0.96,0.0,0.0,0.04,0.0,0.0,0.0,0.8,real
1,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.84,0.0,0.93,0.0,0.0,0.05,0.0,0.27,0.41,0.76,real
2,0.0,0.0,0.0,0.0,0.01,0.55,0.0,1.06,0.0,0.87,0.0,0.01,0.04,0.0,0.5,0.79,0.6,real
3,0.0,0.0,0.04,0.0,0.01,0.43,0.0,1.22,0.0,0.74,0.0,0.11,0.05,0.0,0.83,1.23,0.4,real
4,0.0,0.0,0.04,0.0,0.05,0.34,0.0,1.3,0.0,0.76,0.0,0.19,0.12,0.0,0.93,1.4,0.16,real
5,0.0,0.0,0.12,0.0,0.08,0.26,0.0,1.36,0.0,0.82,0.03,0.33,0.31,0.0,0.98,1.46,0.06,real
6,0.0,0.0,0.17,0.0,0.11,0.28,0.0,1.43,0.0,0.86,0.03,0.39,0.42,0.0,0.96,1.45,0.0,real
7,0.0,0.0,0.25,0.0,0.12,0.25,0.0,1.46,0.0,0.89,0.03,0.45,0.46,0.0,0.88,1.34,0.0,real
8,0.0,0.0,0.22,0.0,0.1,0.24,0.0,1.51,0.0,0.85,0.0,0.36,0.33,0.0,0.9,1.31,0.0,real
9,0.0,0.0,0.18,0.0,0.07,0.25,0.0,1.52,0.0,0.87,0.0,0.27,0.23,0.0,0.8,1.23,0.0,real
10,0.0,0.0,0.25,0.0,0.17,0.45,0.0,1.54,0.0,0.82,0.0,0.16,0.23,0.0,0.87,1.12,0.03,real
11,0.0,0.0,0.24,0.0,0.29,0.66,0.0,1.54,0.0,0.94,0.0,0.1,0.19,0.0,1.1,0.98,0.33,real
12,0.0,0.0,0.19,0.0,0.42,0.89,0.0,1.49,0.0,1.08,0.04,0.04,0.12,0.0,1.33,0.85,0.64,real
13,0.0,0.0,0.06,0.0,0.41,0.86,0.0,1.44,0.0,1.23,0.05,0.0,0.0,0.0,1.38,0.79,0.9,real
14,0.0,0.0,0.05,0.0,0.33,0.91,0.02,1.17,0.0,1.21,0.2,0.0,0.0,0.0,1.0,0.68,0.67,real
15,0.0,0.0,0.05,0.0,0.19,0.65,0.01,0.91,0.0,1.09,0.25,0.01,0.0,0.0,0.56,0.51,0.36,real
16,0.0,0.0,0.03,0.0,0.06,0.48,0.01,0.68,0.0,0.92,0.33,0.03,0.0,0.0,0.15,0.43,0.07,real
17,0.0,0.0,0.03,0.0,0.0,0.22,0.0,0.71,0.0,0.84,0.22,0.12,0.01,0.0,0.0,0.43,0.0,real
18,0.0,0.0,0.03,0.0,0.04,0.24,0.0,0.82,0.0,0.75,0.14,0.16,0.01,0.01,0.0,0.5,0.0,real
19,0.0,0.0,0.04,0.0,0.11,0.12,0.03,0.94,0.0,0.69,0.08,0.2,0.01,0.04,0.0,0.44,0.0,real
20,0.0,0.0,0.04,0.0,0.17,0.05,0.03,0.98,0.0,0.56,0.04,0.11,0.0,0.07,0.0,0.44,0.0,real
21,0.0,0.0,0.09,0.0,0.19,0.0,0.03,0.9,0.0,0.45,0.05,0.06,0.0,0.12,0.0,0.57,0.0,real
22,0.0,0.0,0.09,0.0,0.11,0.0,0.0,0.84,0.0,0.3,0.02,0.01,0.0,0.21,0.0,0.71,0.0,real
23,0.0,0.0,0.06,0.0,0.05,0.0,0.0,0.78,0.0,0.14,0.01,0.01,0.0,0.26,0.0,0.74,0.0,real
24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.81,0.0,0.07,0.0,0.01,0.0,0.34,0.0,0.64,0.0,real
25,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.77,0.0,0.05,0.0,0.0,0.0,0.34,0.0,0.62,0.0,real
26,0.0,0.0,0.21,0.0,0.04,0.0,0.0,0.77,0.0,0.1,0.0,0.0,0.0,0.37,0.0,0.66,0.0,real
27,0.0,0.0,0.4,0.0,0.14,0.0,0.0,0.88,0.0,0.21,0.0,0.01,0.0,0.28,0.15,0.7,0.0,real
28,0.0,0.0,0.56,0.0,0.23,0.0,0.0,0.98,0.0,0.38,0.0,0.01,0.0,0.21,0.32,0.69,0.0,real
29,0.0,0.0,0.7,0.0,0.31,0.0,0.0,1.14,0.0,0.54,0.0,0.05,0.0,0.08,0.63,0.67,0.0,real
30,0.0,0.0,0.77,0.0,0.38,0.0,0.04,1.24,0.0,0.65,0.0,0.11,0.01,0.05,0.88,0.63,0.0,real
31,0.0,0.0,0.76,0.0,0.46,0.0,0.06,1.39,0.0,0.69,0.0,0.19,0.12,0.0,1.15,0.74,0.0,real
32,0.0,0.0,0.8,0.0,0.48,0.0,0.11,1.42,0.0,0.69,0.0,0.18,0.23,0.0,1.24,0.75,0.0,real
33,0.0,0.0,0.68,0.0,0.46,0.0,0.12,1.37,0.0,0.63,0.0,0.15,0.29,0.0,1.2,0.7,0.0,real
