,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.68,0.98,0.46,0.0,0.47,1.64,0.0,0.7,1.04,0.0,0.0,0.29,0.0,0.0,1.52,2.34,0.0,real
1,0.5,0.65,0.65,0.0,0.84,1.8,0.01,1.08,1.34,0.49,0.0,0.59,0.01,0.0,1.63,2.67,0.0,real
2,0.42,0.49,0.73,0.0,1.06,1.86,0.11,1.33,1.68,0.76,0.0,0.56,0.01,0.0,1.27,2.1,0.0,real
3,0.39,0.4,0.71,0.0,1.14,1.92,0.28,1.39,1.85,0.78,0.0,0.4,0.01,0.0,0.84,1.44,0.0,real
4,0.26,0.27,0.71,0.0,1.3,2.12,0.49,1.49,2.07,0.96,0.0,0.69,0.0,0.0,0.28,0.97,0.0,real
5,0.12,0.1,0.68,0.0,1.43,2.4,0.58,1.51,2.07,1.15,0.0,1.17,0.0,0.0,0.15,1.25,0.07,real
6,0.0,0.0,0.65,0.0,1.5,2.53,0.66,1.36,2.03,1.26,0.0,1.84,0.0,0.0,0.03,1.62,0.19,real
7,0.05,0.09,0.58,0.0,1.39,2.33,0.52,1.24,1.94,1.25,0.0,1.81,0.0,0.0,0.26,1.76,0.34,real
8,0.12,0.22,0.6,0.0,1.28,2.02,0.4,1.13,1.89,1.22,0.0,1.71,0.0,0.0,0.58,1.91,0.44,real
9,0.35,0.4,0.58,0.0,1.08,1.61,0.14,1.23,1.73,1.28,0.0,1.1,0.0,0.0,0.85,1.47,0.33,real
10,0.58,0.57,0.54,0.0,0.77,1.17,0.08,1.21,1.34,1.15,0.0,0.83,0.0,0.0,0.8,0.99,0.3,real
11,0.77,0.62,0.45,0.0,0.47,0.93,0.08,1.2,0.87,1.01,0.0,0.64,0.0,0.0,0.63,0.5,0.23,real
12,0.78,0.63,0.38,0.0,0.26,0.97,0.13,1.14,0.53,0.8,0.0,0.58,0.01,0.0,0.58,0.5,0.22,real
13,0.73,0.56,0.35,0.0,0.22,1.15,0.16,1.14,0.43,0.73,0.0,0.46,0.05,0.0,0.57,0.59,0.11,real
14,0.86,0.76,0.22,0.0,0.18,1.07,0.1,1.09,0.39,0.45,0.14,0.25,0.05,0.0,0.48,0.44,0.0,real
