,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
13,0.36,0.0,0.0,0.0,0.19,0.59,0.01,0.07,1.01,0.0,0.03,0.46,0.0,0.0,0.0,0.04,0.26,real
14,0.34,0.0,0.0,0.0,0.23,0.84,0.01,0.03,0.99,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.18,real
15,0.32,0.0,0.0,0.0,0.22,1.04,0.0,0.0,1.03,0.0,0.0,0.51,0.0,0.0,0.01,0.0,0.19,real
16,0.37,0.0,0.0,0.0,0.19,1.03,0.05,0.0,0.92,0.0,0.0,0.43,0.0,0.0,0.12,0.0,0.11,real
17,0.48,0.0,0.0,0.0,0.15,0.92,0.12,0.0,0.86,0.0,0.0,0.36,0.0,0.0,0.26,0.0,0.01,real
18,0.58,0.0,0.0,0.0,0.13,0.93,0.13,0.0,0.74,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,real
19,0.56,0.0,0.0,0.0,0.12,0.96,0.09,0.09,0.77,0.0,0.03,0.46,0.0,0.0,0.46,0.0,0.0,real
20,0.55,0.01,0.0,0.0,0.12,0.97,0.03,0.19,0.76,0.0,0.03,0.48,0.0,0.0,0.47,0.0,0.0,real
21,0.53,0.01,0.0,0.0,0.08,0.85,0.01,0.31,0.72,0.0,0.07,0.55,0.0,0.0,0.53,0.0,0.0,real
22,0.5,0.07,0.0,0.0,0.06,0.85,0.0,0.32,0.63,0.0,0.14,0.57,0.0,0.0,0.65,0.07,0.0,real
23,0.46,0.08,0.0,0.0,0.01,0.83,0.0,0.34,0.53,0.0,0.14,0.74,0.0,0.0,0.78,0.17,0.0,real
24,0.38,0.13,0.0,0.0,0.01,0.88,0.0,0.22,0.46,0.0,0.1,0.67,0.0,0.0,0.86,0.62,0.0,real
25,0.27,0.07,0.0,0.0,0.01,0.93,0.0,0.12,0.41,0.0,0.0,0.55,0.0,0.0,0.85,1.01,0.0,real
26,0.18,0.13,0.0,0.0,0.0,1.05,0.0,0.01,0.36,0.0,0.0,0.36,0.0,0.0,0.74,1.32,0.0,real
27,0.18,0.23,0.0,0.0,0.0,0.99,0.0,0.01,0.3,0.0,0.0,0.33,0.0,0.0,0.51,1.18,0.0,real
28,0.23,0.36,0.0,0.0,0.0,0.92,0.0,0.0,0.25,0.0,0.0,0.31,0.0,0.0,0.29,1.06,0.0,real
29,0.22,0.3,0.0,0.0,0.0,0.76,0.0,0.0,0.24,0.0,0.0,0.38,0.0,0.0,0.15,0.85,0.0,real
30,0.14,0.18,0.0,0.0,0.0,0.67,0.0,0.0,0.3,0.0,0.0,0.46,0.0,0.0,0.09,0.67,0.0,real
31,0.07,0.08,0.0,0.0,0.0,0.62,0.0,0.0,0.37,0.0,0.0,0.52,0.0,0.0,0.02,0.45,0.0,real
32,0.0,0.12,0.0,0.0,0.0,0.57,0.0,0.0,0.43,0.0,0.0,0.57,0.0,0.09,0.01,0.24,0.0,real
33,0.0,0.09,0.0,0.0,0.0,0.54,0.0,0.0,0.52,0.0,0.0,0.38,0.0,0.14,0.0,0.12,0.0,real
34,0.0,0.07,0.0,0.0,0.0,0.6,0.0,0.0,0.59,0.0,0.0,0.25,0.0,0.15,0.0,0.01,0.0,real
35,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.64,0.0,0.0,0.04,0.0,0.06,0.1,0.14,0.0,real
36,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.66,0.0,0.0,0.04,0.0,0.01,0.2,0.27,0.0,real
37,0.03,0.0,0.0,0.0,0.02,0.82,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.34,0.47,0.0,real
38,0.05,0.0,0.0,0.0,0.04,0.92,0.0,0.0,0.7,0.0,0.0,0.05,0.0,0.0,0.4,0.58,0.0,real
39,0.05,0.0,0.0,0.0,0.15,1.06,0.0,0.0,0.78,0.04,0.0,0.08,0.0,0.0,0.47,0.8,0.0,real
40,0.04,0.0,0.0,0.0,0.24,1.13,0.0,0.0,0.84,0.08,0.0,0.08,0.0,0.0,0.5,0.9,0.0,real
41,0.02,0.0,0.0,0.0,0.39,1.26,0.0,0.01,0.92,0.08,0.0,0.03,0.0,0.0,0.58,0.99,0.0,real
42,0.02,0.0,0.0,0.0,0.44,1.18,0.02,0.12,0.89,0.06,0.0,0.02,0.0,0.0,0.65,1.19,0.0,real
43,0.0,0.0,0.0,0.0,0.47,1.14,0.04,0.25,0.86,0.06,0.0,0.02,0.0,0.0,0.77,1.45,0.0,real
44,0.0,0.0,0.0,0.0,0.44,0.95,0.04,0.44,0.77,0.06,0.05,0.02,0.0,0.0,0.73,1.83,0.0,real
45,0.02,0.0,0.0,0.0,0.28,0.76,0.03,0.35,0.63,0.04,0.15,0.01,0.0,0.0,0.69,2.0,0.0,real
46,0.04,0.0,0.0,0.0,0.15,0.69,0.0,0.22,0.51,0.0,0.15,0.19,0.0,0.11,0.41,1.76,0.0,real
47,0.06,0.0,0.0,0.0,0.05,0.73,0.0,0.02,0.47,0.0,0.1,0.33,0.0,0.21,0.2,1.41,0.0,real
48,0.06,0.0,0.0,0.0,0.07,0.83,0.0,0.0,0.52,0.0,0.0,0.48,0.0,0.31,0.0,1.11,0.0,real
49,0.04,0.0,0.0,0.0,0.17,0.99,0.02,0.06,0.59,0.01,0.08,0.31,0.0,0.2,0.02,1.27,0.1,real
50,0.02,0.0,0.0,0.0,0.32,1.15,0.06,0.1,0.68,0.1,0.18,0.21,0.0,0.1,0.02,1.14,0.18,real
51,0.0,0.0,0.0,0.0,0.48,1.3,0.09,0.14,0.75,0.25,0.29,0.15,0.0,0.0,0.02,1.02,0.28,real
52,0.0,0.0,0.0,0.0,0.51,1.19,0.07,0.12,0.87,0.36,0.32,0.27,0.0,0.0,0.0,0.75,0.21,real
53,0.0,0.0,0.0,0.0,0.45,1.12,0.04,0.16,0.92,0.29,0.24,0.29,0.0,0.0,0.0,0.82,0.22,real
54,0.0,0.0,0.0,0.0,0.32,1.18,0.0,0.14,0.86,0.22,0.23,0.22,0.0,0.0,0.0,0.9,0.26,real
55,0.0,0.0,0.0,0.0,0.25,1.34,0.0,0.2,0.74,0.2,0.12,0.1,0.02,0.0,0.07,0.96,0.32,real
56,0.0,0.0,0.0,0.0,0.23,1.38,0.0,0.24,0.69,0.3,0.1,0.04,0.1,0.0,0.25,0.86,0.22,real
57,0.0,0.0,0.0,0.0,0.32,1.28,0.0,0.31,0.81,0.35,0.0,0.0,0.1,0.0,0.45,0.55,0.09,real
58,0.0,0.0,0.0,0.0,0.36,1.22,0.0,0.3,0.91,0.35,0.0,0.0,0.08,0.0,0.62,0.31,0.0,real
59,0.0,0.0,0.0,0.0,0.42,1.25,0.03,0.27,0.97,0.4,0.0,0.0,0.04,0.0,0.65,0.08,0.0,real
60,0.0,0.0,0.0,0.0,0.44,1.32,0.03,0.22,0.98,0.48,0.0,0.0,0.07,0.0,0.63,0.03,0.0,real
61,0.0,0.0,0.0,0.0,0.48,1.32,0.04,0.19,1.0,0.63,0.0,0.0,0.12,0.0,0.53,0.0,0.04,real
62,0.0,0.0,0.0,0.0,0.5,1.31,0.03,0.13,1.1,0.71,0.0,0.0,0.23,0.0,0.47,0.0,0.05,real
63,0.0,0.0,0.0,0.0,0.56,1.51,0.03,0.15,1.15,0.64,0.0,0.0,0.3,0.0,0.44,0.18,0.08,real
64,0.0,0.0,0.0,0.0,0.6,1.67,0.02,0.14,1.18,0.53,0.0,0.0,0.37,0.0,0.48,0.36,0.04,real
65,0.0,0.0,0.0,0.0,0.47,1.82,0.0,0.23,1.0,0.28,0.0,0.02,0.31,0.0,0.45,1.09,0.16,real
66,0.0,0.0,0.0,0.0,0.31,1.7,0.0,0.25,0.86,0.31,0.0,0.14,0.22,0.13,0.29,1.5,0.23,real
67,0.0,0.0,0.0,0.0,0.12,1.61,0.0,0.31,0.71,0.34,0.0,0.26,0.19,0.28,0.11,1.9,0.34,real
68,0.0,0.0,0.0,0.0,0.1,1.43,0.0,0.3,0.69,0.52,0.0,0.3,0.18,0.42,0.0,1.57,0.26,real
69,0.0,0.0,0.0,0.0,0.09,1.4,0.0,0.4,0.68,0.47,0.0,0.25,0.18,0.36,0.02,1.16,0.27,real
70,0.0,0.0,0.0,0.0,0.2,1.4,0.0,0.51,0.75,0.51,0.03,0.24,0.09,0.3,0.08,0.73,0.23,real
71,0.0,0.0,0.0,0.0,0.33,1.39,0.0,0.71,0.8,0.45,0.03,0.27,0.07,0.16,0.38,0.79,0.31,real
72,0.0,0.0,0.02,0.0,0.48,1.36,0.0,0.82,0.84,0.39,0.03,0.22,0.13,0.09,0.78,1.18,0.34,real
73,0.0,0.0,0.07,0.0,0.58,1.38,0.0,0.91,0.82,0.25,0.0,0.11,0.15,0.0,1.15,1.61,0.44,real
74,0.0,0.0,0.11,0.0,0.62,1.38,0.0,0.94,0.84,0.19,0.0,0.06,0.13,0.0,1.29,1.69,0.48,real
75,0.0,0.0,0.1,0.0,0.64,1.34,0.0,0.89,0.9,0.23,0.0,0.04,0.14,0.0,1.31,1.52,0.46,real
76,0.0,0.0,0.05,0.0,0.61,1.26,0.0,0.73,1.01,0.33,0.0,0.04,0.24,0.01,1.16,1.26,0.33,real
77,0.0,0.0,0.02,0.0,0.59,1.25,0.0,0.56,1.16,0.46,0.0,0.02,0.28,0.07,1.0,0.93,0.25,real
78,0.0,0.0,0.0,0.0,0.54,1.22,0.0,0.47,1.29,0.53,0.0,0.07,0.29,0.13,0.81,0.75,0.2,real
79,0.0,0.0,0.0,0.0,0.56,1.22,0.0,0.44,1.36,0.55,0.0,0.08,0.25,0.22,0.67,0.47,0.22,real
80,0.0,0.0,0.0,0.0,0.6,1.18,0.0,0.43,1.41,0.57,0.0,0.16,0.27,0.26,0.53,0.29,0.22,real
81,0.0,0.0,0.0,0.0,0.68,1.28,0.0,0.35,1.43,0.64,0.0,0.15,0.29,0.26,0.46,0.13,0.23,real
82,0.0,0.0,0.0,0.0,0.75,1.33,0.0,0.33,1.5,0.64,0.0,0.17,0.26,0.23,0.51,0.13,0.3,real
83,0.0,0.0,0.0,0.0,0.78,1.37,0.0,0.33,1.53,0.59,0.0,0.14,0.22,0.16,0.6,0.16,0.36,real
84,0.0,0.0,0.0,0.0,0.82,1.3,0.0,0.47,1.58,0.52,0.0,0.1,0.21,0.1,0.78,0.33,0.32,real
85,0.0,0.0,0.0,0.0,0.87,1.45,0.0,0.71,1.53,0.5,0.0,0.07,0.14,0.04,1.03,0.77,0.19,real
86,0.0,0.0,0.0,0.0,1.07,1.64,0.0,1.04,1.51,0.48,0.0,0.01,0.12,0.0,1.23,1.37,0.27,real
87,0.0,0.0,0.0,0.0,1.27,1.91,0.01,1.26,1.47,0.51,0.0,0.02,0.06,0.0,1.29,1.79,0.7,real
88,0.0,0.0,0.0,0.0,1.45,1.99,0.01,1.31,1.48,0.54,0.0,0.04,0.07,0.0,1.3,2.01,1.15,real
89,0.0,0.0,0.0,0.0,1.55,2.17,0.09,1.29,1.53,0.58,0.0,0.04,0.03,0.0,1.34,1.86,1.28,real
90,0.0,0.0,0.0,0.0,1.58,2.22,0.15,1.28,1.58,0.57,0.0,0.03,0.01,0.0,1.34,1.73,1.13,real
91,0.0,0.0,0.0,0.0,1.41,2.37,0.49,1.19,1.39,0.56,0.04,0.23,0.0,0.0,1.05,1.18,0.78,real
92,0.0,0.0,0.0,0.0,1.13,2.34,0.8,1.06,1.05,0.37,0.09,0.54,0.0,0.04,0.65,0.75,0.43,real
93,0.0,0.0,0.0,0.0,0.85,2.22,1.1,1.1,0.75,0.18,0.37,0.94,0.0,0.1,0.3,0.22,0.1,real
94,0.0,0.0,0.0,0.0,0.74,1.99,1.14,1.2,0.67,0.0,0.55,1.05,0.0,0.1,0.22,0.08,0.12,real
95,0.0,0.0,0.0,0.0,0.66,1.88,1.04,1.3,0.61,0.0,0.74,1.16,0.0,0.07,0.2,0.01,0.28,real
96,0.0,0.0,0.0,0.0,0.59,1.87,1.01,1.26,0.58,0.0,0.61,1.2,0.0,0.0,0.16,0.0,0.43,real
97,0.0,0.0,0.01,0.0,0.54,1.79,0.96,1.13,0.54,0.0,0.59,1.33,0.0,0.0,0.07,0.0,0.54,real
98,0.0,0.0,0.04,0.0,0.56,1.73,0.97,1.0,0.56,0.0,0.56,1.36,0.0,0.0,0.03,0.0,0.53,real
99,0.0,0.0,0.13,0.0,0.56,1.8,0.94,0.78,0.53,0.0,0.63,1.24,0.0,0.0,0.06,0.25,0.48,real
100,0.0,0.0,0.17,0.0,0.5,1.85,0.91,0.68,0.51,0.0,0.55,1.09,0.0,0.1,0.08,0.57,0.25,real
101,0.0,0.0,0.21,0.0,0.5,2.02,0.79,0.51,0.54,0.0,0.42,0.91,0.0,0.19,0.13,0.91,0.1,real
102,0.0,0.0,0.22,0.0,0.57,2.05,0.64,0.43,0.66,0.02,0.35,0.79,0.0,0.23,0.15,1.01,0.0,real
103,0.0,0.0,0.38,0.0,0.72,2.35,0.43,0.28,0.76,0.12,0.38,0.65,0.02,0.18,0.14,1.08,0.1,real
104,0.0,0.0,0.45,0.0,0.8,2.48,0.25,0.2,0.85,0.25,0.42,0.54,0.02,0.21,0.09,1.25,0.18,real
105,0.0,0.0,0.5,0.0,0.84,2.64,0.13,0.12,0.86,0.37,0.46,0.57,0.02,0.3,0.0,1.46,0.26,real
106,0.0,0.0,0.5,0.0,0.85,2.49,0.06,0.24,0.89,0.38,0.41,0.62,0.0,0.31,0.23,1.98,0.28,real
107,0.0,0.0,0.53,0.0,0.86,2.36,0.07,0.38,0.91,0.28,0.38,0.56,0.0,0.21,0.61,2.27,0.3,real
108,0.0,0.0,0.57,0.0,0.87,2.23,0.07,0.52,0.94,0.17,0.32,0.45,0.0,0.09,0.98,2.54,0.33,real
109,0.0,0.0,0.63,0.0,0.78,2.14,0.08,0.45,0.99,0.25,0.34,0.44,0.0,0.09,0.92,2.12,0.29,real
110,0.0,0.0,0.71,0.0,0.69,2.09,0.08,0.38,1.0,0.43,0.29,0.49,0.09,0.11,0.76,1.6,0.19,real
111,0.0,0.0,0.76,0.0,0.64,1.98,0.1,0.38,1.05,0.56,0.32,0.51,0.09,0.09,0.71,1.2,0.1,real
112,0.0,0.0,0.77,0.0,0.65,1.94,0.14,0.61,0.94,0.44,0.25,0.51,0.16,0.03,1.06,1.51,0.13,real
113,0.0,0.0,0.74,0.0,0.66,1.81,0.14,0.83,0.82,0.28,0.3,0.57,0.07,0.0,1.4,2.1,0.2,real
114,0.0,0.0,0.74,0.0,0.66,1.72,0.12,0.99,0.67,0.2,0.25,0.66,0.07,0.0,1.63,2.55,0.3,real
115,0.0,0.0,0.63,0.0,0.59,1.63,0.05,0.92,0.65,0.17,0.2,0.59,0.0,0.0,1.52,2.27,0.18,real
116,0.0,0.0,0.49,0.0,0.48,1.6,0.03,0.71,0.7,0.23,0.11,0.49,0.0,0.0,1.2,1.61,0.14,real
117,0.0,0.0,0.35,0.0,0.37,1.51,0.0,0.52,0.73,0.23,0.07,0.41,0.0,0.0,0.87,0.98,0.04,real
118,0.0,0.0,0.31,0.0,0.31,1.42,0.0,0.44,0.7,0.24,0.09,0.46,0.0,0.0,0.8,0.9,0.04,real
119,0.0,0.0,0.36,0.0,0.26,1.3,0.0,0.5,0.56,0.15,0.13,0.49,0.0,0.0,0.7,1.11,0.01,real
120,0.0,0.0,0.41,0.0,0.16,1.11,0.0,0.54,0.44,0.12,0.17,0.48,0.0,0.0,0.61,1.3,0.0,real
121,0.0,0.0,0.48,0.0,0.14,1.12,0.0,0.49,0.39,0.19,0.21,0.48,0.0,0.04,0.33,1.26,0.05,real
122,0.0,0.0,0.46,0.0,0.17,1.06,0.0,0.46,0.42,0.26,0.23,0.45,0.0,0.04,0.37,1.27,0.05,real
123,0.0,0.0,0.45,0.0,0.2,1.11,0.0,0.39,0.46,0.3,0.22,0.48,0.0,0.05,0.39,1.3,0.05,real
124,0.0,0.0,0.34,0.0,0.22,0.95,0.0,0.34,0.5,0.28,0.29,0.43,0.03,0.01,0.57,1.26,0.0,real
125,0.0,0.0,0.28,0.0,0.24,0.89,0.0,0.31,0.62,0.31,0.3,0.48,0.23,0.01,0.6,0.9,0.0,real
126,0.0,0.0,0.18,0.0,0.31,0.87,0.0,0.34,0.74,0.42,0.32,0.5,0.39,0.0,0.62,0.46,0.0,real
127,0.0,0.0,0.13,0.0,0.34,0.96,0.0,0.35,0.87,0.53,0.24,0.56,0.45,0.0,0.55,0.14,0.0,real
128,0.0,0.0,0.06,0.0,0.35,1.05,0.0,0.37,0.83,0.51,0.26,0.65,0.38,0.0,0.57,0.08,0.0,real
129,0.0,0.0,0.05,0.0,0.33,1.13,0.0,0.33,0.81,0.44,0.26,0.73,0.35,0.0,0.63,0.15,0.0,real
130,0.0,0.0,0.05,0.0,0.3,1.04,0.0,0.29,0.77,0.42,0.29,0.78,0.3,0.0,0.7,0.2,0.0,real
131,0.0,0.0,0.08,0.0,0.26,1.03,0.0,0.24,0.78,0.45,0.18,0.73,0.23,0.0,0.71,0.3,0.0,real
132,0.0,0.0,0.07,0.0,0.21,0.95,0.0,0.23,0.78,0.5,0.1,0.63,0.15,0.04,0.63,0.29,0.0,real
133,0.0,0.0,0.02,0.0,0.18,0.94,0.0,0.3,0.79,0.49,0.01,0.55,0.1,0.1,0.51,0.31,0.0,real
134,0.0,0.0,0.0,0.0,0.17,0.84,0.0,0.35,0.82,0.51,0.03,0.54,0.09,0.17,0.45,0.3,0.0,real
135,0.0,0.0,0.0,0.0,0.17,0.81,0.0,0.39,0.84,0.48,0.03,0.56,0.07,0.18,0.45,0.31,0.0,real
136,0.0,0.0,0.0,0.0,0.17,0.74,0.0,0.35,0.85,0.44,0.03,0.55,0.16,0.15,0.43,0.29,0.0,real
137,0.0,0.0,0.0,0.0,0.17,0.66,0.0,0.31,0.84,0.43,0.03,0.57,0.21,0.15,0.38,0.28,0.0,real
138,0.0,0.0,0.0,0.0,0.14,0.63,0.0,0.18,0.8,0.41,0.02,0.54,0.19,0.16,0.24,0.27,0.0,real
139,0.0,0.0,0.0,0.0,0.14,0.72,0.0,0.08,0.75,0.41,0.07,0.51,0.09,0.19,0.14,0.26,0.0,real
140,0.0,0.07,0.0,0.0,0.13,0.81,0.0,0.0,0.71,0.46,0.09,0.44,0.02,0.17,0.04,0.28,0.0,real
141,0.0,0.12,0.0,0.0,0.13,0.83,0.0,0.0,0.66,0.49,0.08,0.43,0.06,0.14,0.02,0.29,0.0,real
142,0.0,0.17,0.02,0.0,0.18,0.91,0.0,0.11,0.69,0.43,0.04,0.42,0.08,0.07,0.41,0.69,0.04,real
143,0.0,0.1,0.03,0.0,0.22,1.0,0.0,0.22,0.72,0.32,0.01,0.42,0.1,0.03,0.75,1.01,0.06,real
144,0.0,0.05,0.03,0.0,0.23,1.05,0.0,0.32,0.8,0.21,0.07,0.39,0.07,0.0,1.12,1.27,0.06,real
145,0.0,0.06,0.01,0.0,0.19,1.04,0.0,0.27,0.8,0.3,0.07,0.43,0.04,0.0,0.89,0.81,0.02,real
146,0.0,0.08,0.0,0.0,0.16,1.01,0.0,0.21,0.8,0.32,0.08,0.5,0.0,0.0,0.77,0.45,0.01,real
147,0.0,0.13,0.0,0.0,0.11,0.98,0.0,0.17,0.75,0.32,0.08,0.52,0.0,0.0,0.61,0.15,0.01,real
148,0.0,0.1,0.0,0.0,0.09,1.02,0.0,0.18,0.72,0.28,0.13,0.54,0.0,0.0,0.67,0.24,0.01,real
149,0.0,0.09,0.0,0.0,0.05,1.07,0.0,0.2,0.71,0.26,0.15,0.53,0.0,0.0,0.61,0.17,0.01,real
150,0.0,0.1,0.0,0.0,0.05,1.17,0.0,0.17,0.71,0.35,0.16,0.62,0.0,0.0,0.57,0.18,0.01,real
151,0.0,0.17,0.0,0.0,0.11,1.36,0.0,0.18,0.73,0.32,0.15,0.68,0.0,0.0,0.46,0.12,0.09,real
152,0.0,0.26,0.0,0.0,0.18,1.57,0.0,0.13,0.72,0.34,0.13,0.66,0.0,0.0,0.41,0.15,0.21,real
153,0.0,0.23,0.0,0.0,0.16,1.43,0.0,0.13,0.73,0.33,0.09,0.59,0.0,0.0,0.39,0.13,0.6,real
154,0.0,0.13,0.0,0.0,0.1,1.13,0.0,0.14,0.78,0.3,0.04,0.5,0.03,0.0,0.34,0.08,0.86,real
155,0.0,0.04,0.0,0.0,0.07,0.88,0.0,0.11,0.87,0.35,0.02,0.44,0.03,0.0,0.23,0.05,1.11,real
156,0.0,0.0,0.0,0.0,0.18,1.1,0.0,0.08,0.96,0.4,0.0,0.43,0.06,0.0,0.07,0.0,0.96,real
157,0.13,0.07,0.0,0.0,0.16,0.84,0.0,0.01,1.05,0.45,0.0,0.41,0.07,0.0,0.0,0.0,1.12,real
158,0.24,0.15,0.0,0.0,0.11,0.5,0.0,0.05,1.09,0.44,0.0,0.44,0.1,0.0,0.0,0.0,1.35,real
159,0.46,0.33,0.0,0.0,0.0,0.03,0.0,0.05,1.17,0.33,0.0,0.39,0.14,0.0,0.0,0.0,1.71,real
160,0.67,0.51,0.0,0.0,0.0,0.01,0.0,0.03,1.21,0.29,0.0,0.39,0.18,0.0,0.0,0.0,1.88,real
161,0.91,0.66,0.0,0.0,0.0,0.09,0.0,0.0,1.23,0.22,0.0,0.35,0.26,0.0,0.0,0.0,1.95,real
162,1.03,0.68,0.0,0.0,0.0,0.09,0.0,0.0,1.2,0.2,0.0,0.3,0.24,0.0,0.0,0.0,2.02,real
163,0.99,0.54,0.0,0.0,0.0,0.09,0.0,0.01,1.16,0.23,0.0,0.29,0.3,0.0,0.0,0.0,2.05,real
164,0.96,0.49,0.0,0.0,0.0,0.01,0.0,0.01,1.1,0.28,0.0,0.36,0.27,0.0,0.0,0.0,2.04,real
165,0.96,0.51,0.0,0.0,0.0,0.0,0.0,0.01,1.04,0.33,0.0,0.48,0.27,0.0,0.0,0.0,2.01,real
166,0.9,0.57,0.0,0.0,0.0,0.0,0.0,0.05,0.99,0.23,0.0,0.42,0.14,0.0,0.06,0.01,1.95,real
167,0.72,0.42,0.0,0.0,0.0,0.0,0.0,0.17,0.91,0.11,0.0,0.27,0.17,0.0,0.3,0.15,1.97,real
168,0.53,0.32,0.0,0.02,0.0,0.05,0.0,0.28,0.86,0.01,0.0,0.15,0.27,0.0,0.5,0.31,1.93,real
169,0.45,0.29,0.0,0.02,0.0,0.24,0.0,0.46,0.7,0.0,0.0,0.09,0.32,0.0,1.14,0.86,2.01,real
170,0.41,0.39,0.04,0.02,0.0,0.4,0.0,0.54,0.66,0.0,0.0,0.06,0.27,0.0,1.55,1.2,2.12,real
171,0.35,0.43,0.04,0.03,0.0,0.53,0.0,0.61,0.65,0.0,0.09,0.11,0.23,0.07,1.43,1.08,2.24,real
172,0.24,0.41,0.05,0.09,0.01,0.57,0.0,0.59,0.8,0.0,0.15,0.2,0.35,0.17,0.84,0.59,2.24,real
173,0.13,0.26,0.03,0.09,0.08,0.9,0.0,0.59,0.88,0.0,0.3,0.35,0.4,0.27,0.19,0.1,1.88,real
174,0.05,0.14,0.03,0.05,0.15,1.08,0.0,0.43,0.82,0.0,0.47,0.4,0.29,0.31,0.1,0.07,1.35,real
175,0.01,0.31,0.02,0.0,0.16,1.06,0.0,0.23,0.64,0.0,0.64,0.5,0.11,0.24,0.0,0.11,0.74,real
176,0.01,0.38,0.0,0.0,0.13,0.73,0.0,0.03,0.47,0.08,0.6,0.51,0.06,0.14,0.0,0.43,0.36,real
177,0.02,0.45,0.0,0.0,0.09,0.38,0.0,0.0,0.39,0.19,0.39,0.45,0.07,0.03,0.0,0.68,0.14,real
178,0.01,0.29,0.0,0.0,0.09,0.18,0.0,0.0,0.43,0.45,0.19,0.43,0.07,0.04,0.0,0.58,0.02,real
179,0.01,0.35,0.0,0.0,0.07,0.11,0.0,0.0,0.44,0.55,0.07,0.45,0.02,0.07,0.0,0.33,0.0,real
180,0.0,0.27,0.0,0.0,0.04,0.27,0.0,0.0,0.34,0.61,0.02,0.5,0.0,0.07,0.15,0.49,0.0,real
181,0.0,0.16,0.0,0.0,0.03,0.4,0.0,0.0,0.22,0.52,0.0,0.49,0.0,0.05,0.28,0.92,0.0,real
182,0.0,0.03,0.0,0.0,0.0,0.46,0.0,0.0,0.11,0.52,0.0,0.46,0.0,0.01,0.47,1.32,0.0,real
183,0.0,0.01,0.0,0.0,0.0,0.51,0.0,0.0,0.06,0.47,0.01,0.45,0.0,0.01,0.48,1.35,0.0,real
184,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.04,0.45,0.04,0.41,0.0,0.0,0.44,1.27,0.0,real
185,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.11,0.4,0.12,0.45,0.0,0.03,0.25,0.98,0.0,real
186,0.0,0.05,0.0,0.0,0.01,0.42,0.0,0.0,0.2,0.45,0.16,0.44,0.0,0.06,0.09,0.73,0.0,real
187,0.0,0.05,0.0,0.0,0.02,0.56,0.0,0.0,0.25,0.52,0.25,0.49,0.06,0.1,0.0,0.44,0.0,real
188,0.02,0.05,0.0,0.0,0.01,0.56,0.0,0.0,0.28,0.57,0.23,0.46,0.18,0.1,0.0,0.32,0.0,real
189,0.02,0.0,0.0,0.0,0.02,0.52,0.0,0.0,0.3,0.59,0.19,0.46,0.3,0.07,0.0,0.33,0.0,real
190,0.02,0.0,0.0,0.0,0.04,0.62,0.0,0.0,0.28,0.44,0.06,0.28,0.24,0.03,0.11,0.65,0.0,real
