,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,1.13,0.0,0.31,0.0,0.0,0.0,0.0,0.71,0.04,0.17,0.0,0.91,0.0,0.11,0.65,0.13,0.0,real
1,1.31,0.0,0.28,0.0,0.0,0.0,0.0,0.66,0.1,0.09,0.0,0.83,0.0,0.22,0.45,0.27,0.0,real
2,1.41,0.0,0.24,0.0,0.0,0.0,0.0,0.64,0.13,0.03,0.0,0.77,0.0,0.29,0.38,0.45,0.0,real
3,1.36,0.0,0.28,0.0,0.0,0.0,0.0,0.75,0.17,0.0,0.02,0.76,0.0,0.23,0.47,0.72,0.0,real
4,1.37,0.0,0.46,0.0,0.0,0.0,0.0,0.92,0.21,0.01,0.03,0.87,0.0,0.15,0.45,0.79,0.0,real
5,1.33,0.0,0.55,0.0,0.0,0.0,0.0,1.02,0.24,0.04,0.11,0.89,0.0,0.05,0.43,0.81,0.0,real
6,1.17,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.2,0.04,0.09,0.72,0.0,0.07,0.45,0.99,0.0,real
7,0.98,0.0,0.92,0.0,0.0,0.0,0.0,0.92,0.15,0.03,0.07,0.56,0.0,0.11,0.52,1.11,0.0,real
8,0.82,0.0,1.11,0.0,0.0,0.0,0.0,0.89,0.09,0.0,0.0,0.44,0.0,0.19,0.6,1.29,0.0,real
9,0.55,0.0,0.79,0.0,0.0,0.0,0.09,1.0,0.07,0.2,0.0,0.48,0.0,0.18,0.74,1.05,0.0,real
10,0.28,0.0,0.46,0.0,0.0,0.0,0.21,1.17,0.06,0.39,0.0,0.53,0.0,0.25,0.78,0.91,0.0,real
11,0.0,0.0,0.17,0.0,0.0,0.0,0.3,1.32,0.08,0.53,0.0,0.56,0.0,0.31,0.84,0.84,0.0,real
12,0.0,0.0,0.21,0.02,0.0,0.0,0.21,1.29,0.14,0.33,0.0,0.71,0.07,0.33,0.69,1.04,0.0,real
13,0.0,0.0,0.28,0.05,0.0,0.0,0.09,1.25,0.23,0.14,0.0,0.83,0.24,0.19,0.68,1.2,0.0,real
14,0.0,0.0,0.36,0.08,0.0,0.0,0.0,1.24,0.3,0.0,0.0,0.99,0.32,0.06,0.63,1.28,0.0,real
15,0.0,0.0,0.36,0.06,0.0,0.0,0.02,1.34,0.38,0.04,0.0,1.01,0.27,0.09,0.96,1.67,0.0,real
16,0.0,0.0,0.34,0.04,0.0,0.0,0.07,1.41,0.42,0.08,0.0,1.04,0.1,0.16,1.2,2.01,0.0,real
17,0.0,0.0,0.34,0.03,0.0,0.0,0.07,1.49,0.48,0.08,0.0,1.08,0.03,0.21,1.51,2.36,0.0,real
18,0.0,0.0,0.34,0.03,0.0,0.0,0.05,1.52,0.5,0.04,0.0,1.11,0.01,0.21,1.5,2.33,0.0,real
19,0.0,0.0,0.36,0.02,0.0,0.0,0.0,1.55,0.5,0.06,0.0,1.01,0.04,0.14,1.54,2.07,0.0,real
20,0.0,0.0,0.37,0.0,0.0,0.0,0.0,1.56,0.46,0.1,0.0,0.88,0.05,0.07,1.49,1.78,0.0,real
21,0.0,0.0,0.31,0.01,0.0,0.0,0.0,1.51,0.42,0.16,0.0,0.68,0.05,0.0,1.16,1.27,0.0,real
22,0.0,0.0,0.26,0.01,0.0,0.0,0.0,1.46,0.4,0.18,0.0,0.59,0.01,0.0,0.84,1.04,0.0,real
23,0.0,0.0,0.2,0.01,0.0,0.0,0.0,1.38,0.34,0.2,0.0,0.62,0.0,0.0,0.51,0.7,0.0,real
24,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.34,0.28,0.2,0.01,0.7,0.0,0.0,0.52,0.58,0.0,real
25,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.37,0.29,0.2,0.04,0.81,0.0,0.01,0.34,0.29,0.0,real
26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.4,0.34,0.28,0.06,0.82,0.0,0.03,0.17,0.15,0.02,real
27,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.36,0.35,0.22,0.09,0.8,0.0,0.07,0.0,0.0,0.02,real
28,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.28,0.31,0.14,0.11,0.79,0.0,0.12,0.0,0.0,0.02,real
29,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.23,0.29,0.0,0.21,0.76,0.0,0.11,0.0,0.0,0.0,real
30,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.19,0.32,0.0,0.26,0.74,0.0,0.07,0.0,0.0,0.0,real
31,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1.15,0.35,0.0,0.44,0.75,0.0,0.02,0.0,0.04,0.0,real
32,0.0,0.0,0.16,0.01,0.0,0.0,0.0,1.12,0.36,0.01,0.54,0.76,0.0,0.02,0.0,0.13,0.0,real
33,0.0,0.0,0.15,0.06,0.0,0.0,0.0,1.12,0.37,0.01,0.68,0.82,0.0,0.05,0.0,0.27,0.0,real
34,0.0,0.0,0.15,0.06,0.0,0.0,0.0,1.15,0.32,0.01,0.65,0.86,0.0,0.05,0.0,0.4,0.0,real
35,0.0,0.0,0.14,0.06,0.0,0.0,0.0,1.21,0.29,0.05,0.53,0.88,0.0,0.05,0.0,0.56,0.04,real
36,0.0,0.0,0.13,0.02,0.0,0.0,0.0,1.26,0.24,0.09,0.39,0.85,0.0,0.02,0.0,0.67,0.04,real
37,0.0,0.0,0.14,0.04,0.0,0.0,0.0,1.29,0.25,0.12,0.27,0.79,0.0,0.01,0.0,0.74,0.04,real
38,0.0,0.0,0.12,0.22,0.0,0.0,0.0,1.37,0.33,0.07,0.17,0.92,0.0,0.01,0.14,1.19,0.13,real
39,0.0,0.0,0.12,0.38,0.0,0.0,0.0,1.51,0.44,0.03,0.07,1.03,0.0,0.02,0.37,1.69,0.22,real
