,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.06,0.0,0.0,0.0,0.0,0.95,0.0,0.53,0.11,0.0,0.52,0.8,0.0,0.18,0.33,0.49,0.0,real
1,0.11,0.0,0.05,0.0,0.0,0.81,0.0,0.7,0.19,0.0,0.42,0.61,0.0,0.07,0.3,0.59,0.0,real
2,0.14,0.0,0.05,0.0,0.0,0.66,0.0,0.81,0.26,0.0,0.29,0.52,0.0,0.01,0.25,0.67,0.0,real
3,0.12,0.0,0.0,0.0,0.0,0.48,0.0,0.7,0.26,0.0,0.13,0.4,0.0,0.0,0.26,0.68,0.0,real
4,0.06,0.0,0.01,0.0,0.0,0.47,0.0,0.62,0.22,0.0,0.09,0.32,0.0,0.0,0.3,0.65,0.0,real
5,0.02,0.0,0.06,0.0,0.0,0.41,0.0,0.53,0.18,0.0,0.07,0.26,0.0,0.01,0.34,0.67,0.0,real
6,0.04,0.0,0.09,0.0,0.0,0.36,0.0,0.56,0.18,0.0,0.05,0.25,0.0,0.01,0.32,0.71,0.0,real
7,0.04,0.0,0.11,0.0,0.0,0.34,0.0,0.54,0.18,0.0,0.06,0.25,0.0,0.02,0.28,0.74,0.0,real
8,0.03,0.0,0.09,0.0,0.0,0.41,0.0,0.48,0.12,0.0,0.05,0.2,0.0,0.02,0.3,0.65,0.0,real
9,0.02,0.0,0.06,0.0,0.0,0.46,0.0,0.38,0.06,0.0,0.05,0.22,0.0,0.02,0.31,0.56,0.0,real
10,0.02,0.0,0.02,0.0,0.0,0.41,0.0,0.4,0.04,0.0,0.01,0.21,0.0,0.0,0.34,0.47,0.0,real
11,0.01,0.0,0.0,0.0,0.0,0.23,0.0,0.42,0.05,0.0,0.0,0.23,0.0,0.0,0.34,0.48,0.0,real
12,0.0,0.0,0.05,0.0,0.0,0.27,0.0,0.5,0.1,0.0,0.0,0.25,0.0,0.01,0.41,0.64,0.0,real
13,0.0,0.0,0.08,0.0,0.0,0.28,0.0,0.53,0.15,0.0,0.04,0.25,0.0,0.01,0.49,0.77,0.0,real
14,0.0,0.0,0.07,0.0,0.0,0.28,0.0,0.53,0.19,0.0,0.05,0.25,0.0,0.01,0.5,0.79,0.0,real
15,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.49,0.15,0.0,0.05,0.21,0.0,0.01,0.49,0.63,0.02,real
16,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.45,0.13,0.0,0.03,0.26,0.0,0.0,0.39,0.53,0.02,real
17,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.39,0.12,0.0,0.01,0.32,0.0,0.0,0.38,0.55,0.02,real
18,0.03,0.0,0.14,0.0,0.0,0.13,0.0,0.37,0.1,0.0,0.01,0.35,0.0,0.0,0.29,0.59,0.0,real
19,0.07,0.0,0.14,0.0,0.0,0.11,0.0,0.35,0.08,0.0,0.0,0.32,0.0,0.0,0.21,0.61,0.0,real
20,0.08,0.0,0.16,0.0,0.0,0.08,0.0,0.38,0.02,0.0,0.0,0.31,0.0,0.0,0.07,0.7,0.0,real
21,0.08,0.0,0.21,0.0,0.0,0.03,0.0,0.32,0.02,0.0,0.0,0.41,0.0,0.0,0.02,0.74,0.0,real
22,0.08,0.0,0.26,0.0,0.0,0.03,0.0,0.2,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.79,0.0,real
23,0.15,0.0,0.24,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.67,0.0,real
24,0.18,0.0,0.18,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.65,0.0,real
25,0.19,0.0,0.15,0.0,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.57,0.0,real
26,0.12,0.0,0.14,0.0,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.54,0.0,real
27,0.07,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.5,0.0,real
28,0.05,0.0,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.5,0.0,real
29,0.07,0.0,0.21,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.57,0.0,real
30,0.07,0.0,0.21,0.0,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.55,0.0,0.0,0.04,0.52,0.04,real
31,0.04,0.0,0.2,0.0,0.0,0.11,0.0,0.12,0.0,0.0,0.0,0.51,0.0,0.0,0.19,0.5,0.04,real
32,0.0,0.0,0.18,0.0,0.0,0.13,0.0,0.2,0.0,0.0,0.0,0.43,0.0,0.0,0.32,0.29,0.04,real
33,0.04,0.0,0.23,0.0,0.0,0.09,0.0,0.25,0.0,0.0,0.0,0.38,0.0,0.0,0.38,0.17,0.0,real
34,0.05,0.0,0.24,0.0,0.0,0.07,0.0,0.26,0.0,0.0,0.0,0.29,0.0,0.01,0.37,0.08,0.0,real
35,0.05,0.0,0.3,0.0,0.0,0.05,0.0,0.28,0.02,0.0,0.0,0.25,0.0,0.01,0.4,0.14,0.0,real
36,0.0,0.0,0.26,0.0,0.0,0.1,0.0,0.27,0.04,0.0,0.0,0.2,0.0,0.01,0.39,0.23,0.0,real
37,0.0,0.0,0.21,0.0,0.0,0.06,0.01,0.27,0.04,0.0,0.0,0.16,0.0,0.0,0.25,0.2,0.0,real
38,0.0,0.0,0.12,0.0,0.0,0.1,0.01,0.29,0.02,0.0,0.0,0.12,0.0,0.0,0.18,0.17,0.0,real
