,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.51,0.0,0.0,0.62,0.61,0.9,0.0,0.49,0.0,2.32,0.0,0.7,0.0,1.53,0.0,real
1,0.0,0.0,0.81,0.0,0.0,0.47,0.44,0.97,0.0,0.39,0.0,2.44,0.0,0.7,0.01,1.59,0.0,real
2,0.0,0.0,0.99,0.05,0.0,0.41,0.23,1.05,0.0,0.38,0.0,2.56,0.01,0.68,0.01,1.79,0.0,real
3,0.0,0.0,1.0,0.05,0.0,0.33,0.04,1.06,0.0,0.36,0.0,2.53,0.01,0.63,0.01,2.1,0.0,real
4,0.0,0.0,1.01,0.05,0.0,0.4,0.03,0.97,0.0,0.32,0.0,2.52,0.03,0.58,0.0,1.91,0.0,real
5,0.0,0.0,1.04,0.0,0.0,0.45,0.04,0.89,0.0,0.18,0.0,2.41,0.07,0.5,0.0,1.61,0.0,real
6,0.0,0.0,1.08,0.0,0.0,0.58,0.06,0.84,0.0,0.14,0.0,2.35,0.16,0.42,0.05,1.23,0.0,real
7,0.0,0.0,1.01,0.0,0.0,0.59,0.02,0.79,0.0,0.15,0.0,2.34,0.14,0.39,0.05,1.14,0.0,real
8,0.0,0.0,0.9,0.0,0.0,0.51,0.01,0.82,0.0,0.22,0.0,2.25,0.13,0.41,0.04,1.07,0.0,real
9,0.0,0.0,0.75,0.0,0.0,0.56,0.0,0.92,0.06,0.35,0.0,2.15,0.04,0.53,0.0,0.9,0.38,real
10,0.0,0.0,0.64,0.0,0.0,0.53,0.0,1.03,0.24,0.5,0.17,2.12,0.04,0.69,0.0,0.62,0.87,real
11,0.0,0.0,0.51,0.0,0.02,0.79,0.0,0.99,0.47,0.66,0.34,2.16,0.0,0.89,0.0,0.35,1.4,real
12,0.0,0.0,0.45,0.0,0.09,0.96,0.03,0.92,0.67,0.72,0.41,1.98,0.0,1.05,0.0,0.17,1.3,real
13,0.0,0.0,0.38,0.0,0.2,1.17,0.06,0.9,0.74,0.63,0.31,1.69,0.05,1.16,0.0,0.08,0.89,real
14,0.0,0.0,0.35,0.0,0.23,1.11,0.06,0.95,0.8,0.78,0.26,1.4,0.12,1.26,0.0,0.0,0.39,real
15,0.0,0.0,0.32,0.0,0.21,1.01,0.04,0.96,0.84,0.91,0.27,1.32,0.2,1.28,0.0,0.0,0.2,real
16,0.0,0.0,0.34,0.0,0.14,1.06,0.01,0.89,0.81,1.08,0.29,1.22,0.22,1.23,0.0,0.0,0.21,real
17,0.0,0.0,0.38,0.0,0.16,1.02,0.01,0.75,0.74,0.93,0.4,1.17,0.3,1.09,0.03,0.07,0.19,real
18,0.0,0.0,0.39,0.0,0.17,1.1,0.0,0.69,0.66,0.8,0.6,1.16,0.27,0.96,0.03,0.21,0.11,real
19,0.0,0.0,0.36,0.0,0.22,0.85,0.0,0.72,0.67,0.71,0.82,1.16,0.23,0.91,0.06,0.39,0.0,real
20,0.0,0.0,0.36,0.0,0.23,0.8,0.0,0.78,0.7,0.63,0.63,1.03,0.18,0.85,0.21,0.67,0.0,real
21,0.0,0.0,0.36,0.0,0.23,0.71,0.0,0.78,0.74,0.56,0.38,0.87,0.23,0.81,0.42,0.87,0.05,real
22,0.0,0.0,0.39,0.0,0.25,0.69,0.0,0.86,0.85,0.42,0.07,0.71,0.3,0.68,0.85,1.02,0.05,real
23,0.0,0.0,0.27,0.0,0.29,0.83,0.0,1.04,0.99,0.48,0.03,0.58,0.35,0.58,1.04,0.83,0.05,real
24,0.0,0.0,0.16,0.0,0.39,0.75,0.0,1.2,1.2,0.6,0.0,0.46,0.46,0.47,1.17,0.48,0.0,real
25,0.0,0.0,0.06,0.0,0.45,0.87,0.0,1.27,1.31,0.75,0.0,0.42,0.56,0.41,1.07,0.19,0.0,real
26,0.0,0.0,0.14,0.0,0.51,0.9,0.0,1.42,1.34,0.84,0.0,0.46,0.42,0.32,1.2,0.46,0.0,real
27,0.0,0.0,0.25,0.0,0.55,1.02,0.0,1.6,1.3,0.85,0.0,0.48,0.21,0.19,1.39,0.89,0.0,real
28,0.0,0.0,0.35,0.0,0.61,1.1,0.0,1.67,1.28,0.77,0.0,0.42,0.0,0.18,1.6,1.1,0.0,real
29,0.0,0.0,0.36,0.0,0.65,1.04,0.0,1.56,1.33,0.63,0.0,0.32,0.0,0.22,1.64,0.94,0.0,real
30,0.0,0.0,0.37,0.0,0.69,1.16,0.0,1.4,1.34,0.49,0.0,0.19,0.06,0.33,1.64,0.54,0.0,real
31,0.0,0.0,0.36,0.0,0.69,1.29,0.0,1.36,1.36,0.45,0.0,0.1,0.09,0.35,1.58,0.32,0.0,real
32,0.0,0.0,0.38,0.0,0.73,1.24,0.05,1.25,1.3,0.38,0.0,0.12,0.09,0.38,1.55,0.12,0.0,real
33,0.0,0.0,0.39,0.0,0.77,1.09,0.09,1.16,1.26,0.39,0.0,0.2,0.04,0.38,1.54,0.11,0.0,real
34,0.0,0.0,0.38,0.01,0.78,0.86,0.09,1.04,1.14,0.25,0.0,0.26,0.0,0.38,1.59,0.15,0.0,real
35,0.0,0.0,0.37,0.01,0.75,0.83,0.04,1.05,1.08,0.14,0.0,0.33,0.0,0.38,1.64,0.18,0.0,real
36,0.0,0.0,0.34,0.01,0.71,0.91,0.0,1.12,0.97,0.0,0.0,0.34,0.0,0.29,1.92,0.41,0.0,real
37,0.0,0.0,0.37,0.0,0.72,0.86,0.0,1.19,0.85,0.0,0.08,0.52,0.0,0.2,2.22,0.76,0.0,real
38,0.0,0.0,0.45,0.0,0.66,0.89,0.0,1.12,0.69,0.0,0.15,0.51,0.0,0.16,2.5,1.2,0.0,real
39,0.0,0.0,0.57,0.0,0.6,0.73,0.0,1.01,0.56,0.0,0.19,0.55,0.0,0.22,2.57,1.46,0.0,real
40,0.0,0.0,0.63,0.0,0.42,0.65,0.0,0.85,0.46,0.0,0.16,0.47,0.0,0.35,2.54,1.55,0.0,real
41,0.0,0.0,0.65,0.0,0.28,0.6,0.0,0.66,0.44,0.0,0.18,0.5,0.0,0.45,2.38,1.47,0.0,real
42,0.0,0.0,0.67,0.0,0.14,0.58,0.0,0.47,0.4,0.0,0.2,0.5,0.0,0.55,2.23,1.4,0.0,real
43,0.0,0.0,0.66,0.0,0.08,0.79,0.0,0.37,0.39,0.0,0.16,0.46,0.0,0.63,1.95,1.23,0.0,real
44,0.0,0.0,0.63,0.04,0.04,0.97,0.0,0.24,0.36,0.0,0.2,0.6,0.0,0.62,1.25,1.06,0.3,real
45,0.0,0.0,0.62,0.04,0.01,1.18,0.0,0.12,0.33,0.0,0.28,0.75,0.0,0.41,0.54,0.92,0.66,real
46,0.0,0.0,0.58,0.04,0.0,1.05,0.0,0.0,0.29,0.0,0.32,1.09,0.0,0.2,0.0,0.56,1.04,real
47,0.0,0.0,0.56,0.0,0.0,1.08,0.0,0.0,0.19,0.0,0.39,1.31,0.0,0.13,0.0,0.32,0.95,real
48,0.0,0.0,0.4,0.0,0.0,0.91,0.0,0.0,0.12,0.0,0.38,1.59,0.0,0.15,0.0,0.07,0.59,real
49,0.01,0.0,0.34,0.0,0.0,1.04,0.0,0.0,0.06,0.0,0.51,1.63,0.0,0.13,0.0,0.15,0.24,real
50,0.01,0.0,0.17,0.0,0.0,0.79,0.03,0.46,0.21,0.0,0.51,1.33,0.0,0.02,0.0,0.42,0.03,real
