,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.06,1.48,0.0,0.14,0.0,0.23,1.96,0.08,0.28,0.07,1.4,0.03,0.41,0.67,0.0,0.0,real
1,0.0,0.15,1.35,0.0,0.15,0.0,0.16,1.87,0.04,0.19,0.1,1.29,0.01,0.29,0.64,0.0,0.0,real
2,0.0,0.22,1.29,0.0,0.14,0.0,0.11,1.82,0.02,0.15,0.1,1.26,0.0,0.21,0.62,0.0,0.0,real
3,0.0,0.28,1.25,0.0,0.14,0.0,0.12,1.84,0.05,0.17,0.12,1.32,0.0,0.23,0.61,0.0,0.0,real
4,0.0,0.28,1.23,0.0,0.12,0.0,0.12,1.88,0.07,0.23,0.09,1.36,0.0,0.23,0.66,0.0,0.0,real
5,0.0,0.36,1.23,0.0,0.15,0.0,0.17,1.96,0.1,0.32,0.07,1.27,0.0,0.2,0.76,0.06,0.0,real
6,0.0,0.39,1.24,0.0,0.15,0.0,0.19,2.01,0.08,0.4,0.02,1.18,0.0,0.17,0.82,0.17,0.0,real
7,0.0,0.44,1.27,0.0,0.16,0.0,0.18,2.03,0.08,0.51,0.0,1.06,0.0,0.13,0.84,0.27,0.0,real
8,0.0,0.41,1.26,0.0,0.14,0.0,0.16,2.01,0.08,0.57,0.06,1.15,0.0,0.17,0.8,0.29,0.0,real
9,0.0,0.37,1.25,0.0,0.17,0.0,0.15,2.03,0.11,0.53,0.06,1.17,0.0,0.16,0.75,0.25,0.0,real
10,0.0,0.38,1.27,0.0,0.2,0.0,0.21,2.08,0.11,0.52,0.1,1.25,0.0,0.15,0.72,0.25,0.0,real
11,0.0,0.32,1.28,0.0,0.2,0.0,0.24,2.15,0.09,0.42,0.04,1.26,0.0,0.14,0.71,0.25,0.0,real
12,0.0,0.35,1.35,0.0,0.21,0.0,0.26,2.21,0.07,0.38,0.07,1.28,0.01,0.11,0.73,0.31,0.0,real
13,0.0,0.26,1.34,0.0,0.22,0.0,0.25,2.22,0.1,0.31,0.09,1.31,0.01,0.1,0.76,0.36,0.0,real
14,0.0,0.27,1.39,0.0,0.26,0.0,0.27,2.21,0.13,0.33,0.11,1.3,0.01,0.05,0.81,0.61,0.0,real
15,0.0,0.33,1.32,0.0,0.18,0.0,0.23,2.18,0.12,0.35,0.17,1.36,0.0,0.06,1.0,0.69,0.0,real
16,0.0,0.4,1.19,0.0,0.08,0.0,0.17,2.1,0.12,0.41,0.12,1.35,0.0,0.03,1.16,0.82,0.03,real
17,0.0,0.46,1.04,0.0,0.01,0.0,0.12,2.03,0.14,0.47,0.12,1.39,0.0,0.02,1.29,0.8,0.03,real
18,0.0,0.44,0.94,0.06,0.0,0.0,0.08,1.97,0.19,0.5,0.05,1.36,0.0,0.0,1.3,0.93,0.26,real
19,0.02,0.32,0.94,0.21,0.0,0.0,0.08,1.97,0.18,0.54,0.03,1.24,0.0,0.0,1.31,0.82,0.46,real
20,0.16,0.27,0.82,0.39,0.0,0.0,0.03,1.91,0.11,0.6,0.02,0.95,0.0,0.0,1.42,0.52,0.64,real
21,0.33,0.21,0.78,0.44,0.0,0.0,0.04,1.85,0.04,0.77,0.01,0.75,0.0,0.0,1.4,0.18,0.58,real
22,0.49,0.3,0.71,0.39,0.0,0.0,0.03,1.78,0.0,0.87,0.01,0.64,0.0,0.0,1.4,0.0,0.51,real
23,0.52,0.3,0.76,0.4,0.0,0.0,0.07,1.72,0.0,0.92,0.0,0.61,0.0,0.0,1.32,0.0,0.5,real
24,0.5,0.18,0.76,0.51,0.0,0.0,0.09,1.71,0.0,0.88,0.0,0.56,0.0,0.0,1.4,0.0,0.51,real
25,0.54,0.21,0.73,0.6,0.0,0.0,0.12,1.74,0.0,0.85,0.0,0.47,0.0,0.0,1.43,0.03,0.59,real
26,0.56,0.23,0.71,0.59,0.0,0.0,0.12,1.81,0.0,0.82,0.0,0.43,0.0,0.0,1.41,0.05,0.67,real
27,0.57,0.3,0.66,0.62,0.0,0.0,0.12,1.8,0.0,0.85,0.09,0.3,0.0,0.0,1.32,0.05,0.79,real
28,0.53,0.4,0.61,0.72,0.0,0.0,0.08,1.65,0.0,0.75,0.21,0.39,0.0,0.01,1.28,0.04,0.9,real
29,0.47,0.5,0.54,0.9,0.0,0.0,0.03,1.47,0.04,0.72,0.47,0.64,0.0,0.18,1.25,0.02,0.93,real
30,0.42,0.7,0.47,1.17,0.0,0.0,0.0,1.35,0.07,0.65,0.64,1.0,0.0,0.39,1.21,0.03,0.94,real
31,0.31,0.59,0.42,1.19,0.0,0.0,0.0,1.4,0.15,0.66,0.79,1.22,0.0,0.63,1.18,0.01,0.87,real
32,0.21,0.49,0.36,1.16,0.0,0.0,0.0,1.56,0.23,0.76,0.77,1.48,0.0,0.78,1.12,0.01,0.61,real
33,0.19,0.31,0.3,1.03,0.0,0.0,0.0,1.64,0.28,0.86,0.8,1.65,0.0,0.89,1.06,0.0,0.34,real
34,0.13,0.19,0.38,0.79,0.0,0.0,0.0,1.72,0.27,1.03,0.88,1.86,0.0,0.99,0.96,0.0,0.1,real
35,0.09,0.09,0.45,0.48,0.0,0.0,0.0,1.74,0.23,1.0,1.11,1.9,0.0,1.0,0.91,0.0,0.13,real
36,0.03,0.0,0.54,0.4,0.0,0.0,0.0,1.79,0.17,0.97,1.29,2.0,0.0,1.05,0.79,0.0,0.14,real
37,0.03,0.0,0.52,0.65,0.0,0.0,0.0,1.8,0.13,0.86,1.42,2.03,0.0,1.08,0.76,0.0,0.19,real
38,0.04,0.12,0.52,0.94,0.0,0.0,0.0,1.78,0.16,0.79,1.28,2.0,0.0,1.12,0.78,0.08,0.3,real
39,0.05,0.24,0.52,0.98,0.0,0.0,0.0,1.88,0.25,0.84,1.09,1.73,0.0,1.05,0.96,0.12,0.33,real
40,0.05,0.24,0.6,0.88,0.0,0.0,0.0,2.13,0.26,0.77,0.85,1.42,0.0,0.8,1.21,0.48,0.3,real
41,0.04,0.12,0.67,0.81,0.0,0.0,0.0,2.34,0.22,0.72,0.75,1.3,0.0,0.59,1.35,0.74,0.17,real
42,0.0,0.0,0.76,0.49,0.0,0.0,0.0,2.45,0.14,0.56,0.65,1.34,0.0,0.3,1.46,1.02,0.08,real
43,0.0,0.0,0.75,0.35,0.0,0.0,0.0,2.32,0.1,0.53,0.6,1.44,0.0,0.18,1.4,0.95,0.01,real
44,0.0,0.0,0.84,0.12,0.0,0.0,0.02,2.23,0.02,0.45,0.57,1.56,0.0,0.02,1.4,0.96,0.0,real
45,0.0,0.05,0.83,0.08,0.0,0.0,0.02,2.02,0.0,0.25,0.62,1.48,0.0,0.01,1.23,0.81,0.0,real
46,0.0,0.13,0.8,0.04,0.0,0.0,0.02,1.85,0.0,0.11,0.59,1.51,0.0,0.03,0.99,0.78,0.0,real
47,0.0,0.23,0.75,0.05,0.0,0.0,0.0,1.75,0.0,0.0,0.53,1.44,0.0,0.12,0.84,0.69,0.0,real
48,0.0,0.18,0.82,0.05,0.0,0.0,0.0,1.83,0.0,0.0,0.46,1.71,0.0,0.22,0.69,0.71,0.0,real
49,0.0,0.1,0.81,0.02,0.0,0.0,0.0,1.89,0.0,0.0,0.48,2.04,0.0,0.36,0.7,0.71,0.0,real
50,0.0,0.09,0.81,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.54,2.27,0.0,0.48,0.71,0.76,0.0,real
51,0.0,0.09,0.76,0.06,0.0,0.0,0.0,1.78,0.0,0.0,0.64,2.43,0.0,0.62,0.98,1.15,0.0,real
52,0.0,0.09,0.85,0.06,0.0,0.0,0.0,1.78,0.0,0.0,0.73,2.41,0.0,0.7,1.21,1.41,0.0,real
53,0.0,0.04,0.9,0.06,0.0,0.0,0.0,1.97,0.0,0.05,0.79,2.45,0.03,0.5,1.4,1.69,0.0,real
54,0.0,0.05,0.99,0.0,0.0,0.0,0.0,2.12,0.0,0.13,0.73,2.33,0.03,0.26,1.42,1.48,0.0,real
55,0.0,0.05,1.02,0.0,0.0,0.0,0.0,2.37,0.0,0.29,0.7,2.18,0.05,0.07,1.2,1.09,0.0,real
56,0.0,0.01,1.01,0.0,0.0,0.0,0.0,2.43,0.0,0.47,0.64,2.07,0.08,0.09,0.92,0.6,0.0,real
57,0.0,0.0,1.02,0.0,0.0,0.0,0.0,2.34,0.01,0.58,0.65,2.06,0.1,0.18,0.48,0.23,0.0,real
58,0.0,0.0,1.08,0.0,0.01,0.0,0.0,2.09,0.03,0.61,0.75,2.02,0.08,0.24,0.26,0.11,0.0,real
59,0.0,0.0,1.25,0.0,0.04,0.0,0.03,1.85,0.04,0.54,0.82,1.93,0.02,0.32,0.05,0.0,0.0,real
60,0.0,0.0,1.38,0.0,0.05,0.0,0.07,1.73,0.04,0.51,0.93,1.87,0.0,0.35,0.01,0.0,0.0,real
61,0.0,0.0,1.41,0.0,0.09,0.0,0.07,1.73,0.08,0.53,0.83,1.9,0.0,0.38,0.0,0.0,0.0,real
62,0.0,0.0,1.41,0.0,0.13,0.0,0.06,1.75,0.12,0.58,0.74,2.0,0.0,0.45,0.0,0.0,0.0,real
63,0.0,0.0,1.38,0.0,0.18,0.0,0.06,1.81,0.15,0.6,0.62,2.03,0.0,0.51,0.0,0.0,0.0,real
64,0.0,0.0,1.44,0.0,0.21,0.0,0.09,1.79,0.14,0.59,0.57,2.1,0.0,0.56,0.0,0.0,0.0,real
65,0.0,0.0,1.39,0.0,0.15,0.0,0.07,1.69,0.08,0.47,0.63,2.16,0.0,0.64,0.0,0.0,0.0,real
66,0.0,0.0,1.4,0.0,0.09,0.0,0.03,1.63,0.04,0.34,0.67,2.24,0.0,0.74,0.0,0.0,0.0,real
67,0.0,0.0,1.33,0.0,0.01,0.0,0.0,1.65,0.0,0.2,0.7,2.18,0.0,0.79,0.07,0.0,0.0,real
68,0.0,0.0,1.37,0.0,0.04,0.0,0.0,1.7,0.0,0.14,0.57,2.09,0.0,0.74,0.13,0.0,0.0,real
69,0.0,0.0,1.4,0.0,0.07,0.0,0.0,1.73,0.0,0.17,0.47,2.04,0.0,0.7,0.19,0.0,0.0,real
70,0.0,0.0,1.43,0.0,0.13,0.0,0.0,1.79,0.01,0.12,0.34,1.99,0.05,0.57,0.27,0.02,0.0,real
71,0.0,0.0,1.4,0.0,0.17,0.0,0.0,1.92,0.07,0.26,0.36,2.0,0.08,0.41,0.37,0.09,0.0,real
72,0.0,0.0,1.33,0.0,0.2,0.0,0.0,2.0,0.1,0.33,0.38,1.98,0.11,0.24,0.48,0.11,0.0,real
73,0.0,0.0,1.34,0.0,0.19,0.0,0.0,2.05,0.14,0.46,0.49,1.92,0.09,0.17,0.48,0.09,0.0,real
74,0.0,0.0,1.31,0.0,0.18,0.0,0.0,2.04,0.16,0.43,0.56,1.83,0.09,0.11,0.46,0.02,0.0,real
75,0.0,0.0,1.21,0.11,0.12,0.0,0.0,2.01,0.17,0.35,0.64,1.67,0.07,0.05,0.51,0.0,0.0,real
76,0.0,0.0,1.13,0.21,0.06,0.0,0.0,1.96,0.16,0.28,0.65,1.61,0.03,0.01,0.65,0.0,0.0,real
77,0.0,0.0,1.05,0.32,0.0,0.0,0.0,1.94,0.13,0.2,0.66,1.59,0.01,0.0,0.76,0.0,0.0,real
78,0.0,0.0,1.01,0.31,0.0,0.0,0.0,2.01,0.15,0.28,0.68,1.54,0.05,0.0,0.84,0.06,0.0,real
79,0.0,0.0,0.98,0.3,0.0,0.0,0.0,2.07,0.14,0.25,0.61,1.54,0.05,0.01,0.89,0.34,0.0,real
80,0.0,0.0,0.96,0.19,0.02,0.0,0.0,2.14,0.11,0.3,0.63,1.64,0.06,0.23,0.82,0.61,0.0,real
81,0.0,0.0,1.01,0.09,0.11,0.0,0.0,2.18,0.18,0.35,0.58,1.86,0.11,0.54,0.78,0.65,0.0,real
82,0.0,0.0,1.05,0.0,0.17,0.0,0.0,2.26,0.29,0.52,0.67,2.05,0.23,0.82,0.74,0.49,0.0,real
83,0.0,0.0,1.13,0.0,0.33,0.0,0.0,2.29,0.4,0.64,0.42,1.87,0.32,0.73,0.92,0.6,0.0,real
84,0.0,0.0,1.11,0.0,0.41,0.0,0.0,2.37,0.42,0.74,0.22,1.51,0.38,0.42,1.31,1.07,0.0,real
85,0.05,0.0,1.02,0.05,0.42,0.0,0.0,2.39,0.49,0.86,0.0,1.11,0.48,0.13,1.73,1.46,0.0,real
86,0.09,0.0,0.95,0.05,0.32,0.0,0.0,2.45,0.55,0.95,0.0,0.98,0.57,0.0,2.09,1.6,0.0,real
87,0.09,0.0,0.88,0.24,0.19,0.0,0.0,2.3,0.61,0.95,0.0,0.94,0.58,0.22,1.97,1.39,0.0,real
88,0.04,0.0,0.95,0.29,0.2,0.0,0.0,2.18,0.71,1.06,0.01,0.78,0.37,0.44,1.72,1.24,0.0,real
89,0.0,0.0,0.96,0.34,0.3,0.0,0.0,2.08,0.92,1.3,0.01,0.63,0.17,0.64,1.45,1.15,0.0,real
90,0.0,0.0,1.01,0.32,0.49,0.05,0.0,2.15,1.12,1.52,0.01,0.39,0.0,0.61,1.44,1.1,0.0,real
91,0.02,0.0,0.92,0.43,0.66,0.05,0.0,2.15,1.4,1.63,0.0,0.29,0.0,0.5,1.58,1.05,0.11,real
92,0.07,0.0,0.92,0.59,0.76,0.05,0.0,2.06,1.55,1.57,0.0,0.11,0.0,0.4,1.67,0.92,0.21,real
93,0.39,0.08,0.87,0.47,0.79,0.0,0.0,1.85,1.75,1.48,0.0,0.06,0.0,0.21,1.79,0.77,0.38,real
94,0.9,0.39,0.83,0.25,0.78,0.03,0.0,1.76,1.66,1.48,0.0,0.11,0.0,0.2,1.58,0.77,0.28,real
95,1.34,0.59,0.81,0.05,0.73,0.1,0.0,1.75,1.54,1.57,0.0,0.11,0.0,0.1,1.38,0.8,0.2,real
96,1.61,0.89,0.79,0.0,0.62,0.25,0.0,1.86,1.06,1.53,0.0,0.17,0.0,0.1,0.89,0.63,0.08,real
97,1.55,0.84,0.73,0.0,0.44,0.36,0.0,1.92,0.58,1.36,0.0,0.22,0.0,0.0,0.49,0.33,0.07,real
98,1.39,0.88,0.59,0.0,0.27,0.46,0.0,1.75,0.13,0.99,0.01,0.41,0.0,0.0,0.13,0.0,0.05,real
99,1.12,0.72,0.49,0.0,0.19,0.51,0.0,1.59,0.0,0.82,0.01,0.54,0.0,0.0,0.0,0.0,0.0,real
100,0.9,0.59,0.44,0.0,0.13,0.51,0.0,1.42,0.0,0.73,0.01,0.62,0.0,0.0,0.0,0.02,0.0,real
101,0.62,0.35,0.55,0.0,0.1,0.44,0.0,1.32,0.0,0.68,0.0,0.49,0.0,0.0,0.0,0.02,0.0,real
102,0.37,0.12,0.64,0.0,0.07,0.31,0.0,1.24,0.0,0.7,0.0,0.35,0.0,0.0,0.0,0.02,0.0,real
103,0.18,0.0,0.73,0.0,0.04,0.31,0.0,1.18,0.0,0.62,0.0,0.23,0.0,0.0,0.0,0.0,0.0,real
104,0.15,0.0,0.7,0.0,0.02,0.43,0.0,1.15,0.0,0.49,0.0,0.18,0.0,0.0,0.0,0.0,0.0,real
105,0.08,0.0,0.6,0.0,0.0,0.63,0.0,1.01,0.0,0.26,0.0,0.12,0.0,0.0,0.0,0.0,0.0,real
106,0.04,0.0,0.5,0.0,0.0,0.71,0.0,0.92,0.0,0.22,0.0,0.06,0.0,0.0,0.0,0.0,0.0,real
107,0.04,0.0,0.38,0.0,0.0,0.8,0.0,0.84,0.0,0.21,0.0,0.13,0.0,0.06,0.0,0.0,0.0,real
108,0.08,0.0,0.34,0.0,0.0,0.72,0.0,0.8,0.0,0.21,0.0,0.29,0.0,0.17,0.0,0.0,0.0,real
109,0.11,0.0,0.34,0.0,0.0,0.8,0.0,0.72,0.0,0.08,0.0,0.42,0.0,0.18,0.0,0.0,0.0,real
110,0.09,0.0,0.33,0.0,0.0,0.75,0.0,0.71,0.0,0.03,0.0,0.52,0.0,0.12,0.0,0.0,0.0,real
111,0.05,0.0,0.32,0.0,0.0,0.7,0.0,0.81,0.0,0.03,0.0,0.52,0.0,0.01,0.0,0.0,0.0,real
112,0.01,0.0,0.31,0.0,0.0,0.58,0.0,0.83,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,real
113,0.0,0.0,0.33,0.0,0.0,0.49,0.0,0.91,0.0,0.07,0.0,0.36,0.0,0.0,0.0,0.0,0.0,real
114,0.0,0.0,0.37,0.0,0.0,0.58,0.0,1.04,0.0,0.17,0.0,0.2,0.0,0.0,0.0,0.0,0.0,real
115,0.0,0.0,0.41,0.0,0.04,0.63,0.0,1.17,0.0,0.31,0.0,0.03,0.0,0.0,0.0,0.0,0.0,real
116,0.0,0.0,0.42,0.0,0.09,0.72,0.0,1.25,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
117,0.0,0.0,0.43,0.0,0.12,0.8,0.0,1.23,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
118,0.01,0.0,0.43,0.0,0.13,0.85,0.0,1.32,0.0,0.49,0.0,0.0,0.02,0.0,0.0,0.21,0.0,real
119,0.21,0.02,0.44,0.0,0.11,0.83,0.0,1.38,0.0,0.32,0.0,0.0,0.03,0.0,0.0,0.5,0.0,real
