,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.23,0.0,0.0,0.36,0.16,1.22,0.11,0.0,0.32,0.61,0.29,0.01,0.0,0.26,0.0,real
1,0.0,0.0,0.25,0.0,0.0,0.35,0.16,1.17,0.04,0.0,0.11,0.71,0.12,0.18,0.0,0.17,0.0,real
2,0.0,0.0,0.35,0.0,0.0,0.43,0.1,1.14,0.0,0.0,0.0,0.65,0.08,0.21,0.02,0.33,0.0,real
3,0.0,0.0,0.39,0.0,0.0,0.35,0.03,1.2,0.0,0.0,0.0,0.61,0.1,0.13,0.02,0.48,0.0,real
4,0.0,0.0,0.5,0.0,0.0,0.37,0.01,1.28,0.02,0.0,0.0,0.4,0.2,0.03,0.14,0.67,0.0,real
5,0.0,0.0,0.53,0.0,0.0,0.28,0.01,1.43,0.06,0.0,0.0,0.27,0.29,0.0,0.23,0.63,0.0,real
6,0.0,0.0,0.61,0.0,0.0,0.32,0.0,1.52,0.1,0.0,0.0,0.13,0.38,0.0,0.32,0.6,0.0,real
7,0.0,0.0,0.61,0.0,0.0,0.3,0.0,1.59,0.11,0.0,0.0,0.14,0.45,0.0,0.31,0.48,0.0,real
8,0.0,0.0,0.61,0.0,0.0,0.31,0.0,1.61,0.1,0.0,0.0,0.2,0.48,0.0,0.32,0.41,0.0,real
9,0.0,0.0,0.54,0.0,0.0,0.32,0.09,1.64,0.11,0.07,0.0,0.18,0.5,0.0,0.41,0.43,0.0,real
10,0.0,0.0,0.55,0.0,0.0,0.4,0.24,1.61,0.13,0.11,0.1,0.21,0.31,0.0,0.34,0.35,0.0,real
11,0.0,0.0,0.56,0.0,0.0,0.48,0.43,1.61,0.17,0.2,0.14,0.21,0.14,0.0,0.3,0.22,0.0,real
12,0.0,0.0,0.61,0.0,0.0,0.62,0.49,1.63,0.19,0.2,0.14,0.21,0.0,0.0,0.47,0.24,0.0,real
13,0.0,0.0,0.58,0.0,0.0,0.67,0.48,1.66,0.19,0.24,0.04,0.09,0.0,0.0,0.75,0.32,0.0,real
14,0.0,0.0,0.56,0.0,0.0,0.71,0.44,1.68,0.19,0.26,0.0,0.0,0.0,0.0,1.01,0.45,0.0,real
15,0.0,0.0,0.58,0.0,0.01,0.7,0.43,1.65,0.15,0.23,0.0,0.0,0.0,0.0,1.06,0.42,0.0,real
16,0.0,0.0,0.64,0.0,0.01,0.74,0.34,1.58,0.12,0.15,0.22,0.18,0.0,0.13,0.74,0.29,0.0,real
17,0.0,0.0,0.62,0.0,0.01,0.74,0.2,1.56,0.06,0.04,0.47,0.37,0.0,0.28,0.4,0.15,0.0,real
18,0.0,0.0,0.61,0.0,0.0,0.7,0.14,1.58,0.04,0.0,0.63,0.39,0.0,0.33,0.0,0.03,0.0,real
19,0.0,0.0,0.57,0.0,0.0,0.72,0.13,1.7,0.06,0.0,0.59,0.22,0.0,0.2,0.02,0.18,0.0,real
20,0.0,0.0,0.65,0.0,0.0,0.78,0.17,1.81,0.11,0.0,0.51,0.03,0.0,0.04,0.06,0.34,0.0,real
21,0.0,0.0,0.62,0.0,0.0,0.76,0.14,1.71,0.13,0.0,0.48,0.2,0.0,0.11,0.06,0.31,0.0,real
22,0.0,0.0,0.59,0.0,0.0,0.74,0.12,1.57,0.13,0.0,0.43,0.36,0.0,0.21,0.04,0.16,0.0,real
23,0.0,0.0,0.48,0.0,0.0,0.61,0.11,1.4,0.1,0.0,0.31,0.52,0.0,0.31,0.0,0.0,0.0,real
24,0.0,0.0,0.42,0.0,0.0,0.53,0.06,1.36,0.09,0.0,0.31,0.43,0.0,0.28,0.0,0.0,0.0,real
25,0.0,0.0,0.36,0.0,0.0,0.33,0.04,1.31,0.07,0.0,0.26,0.36,0.0,0.23,0.0,0.0,0.0,real
26,0.0,0.0,0.3,0.0,0.0,0.34,0.08,1.23,0.05,0.0,0.25,0.34,0.0,0.13,0.0,0.0,0.0,real
27,0.0,0.0,0.24,0.0,0.0,0.37,0.14,1.2,0.03,0.0,0.2,0.39,0.0,0.05,0.0,0.0,0.0,real
28,0.0,0.0,0.26,0.0,0.0,0.56,0.21,1.22,0.0,0.0,0.13,0.43,0.0,0.0,0.0,0.0,0.0,real
29,0.0,0.0,0.31,0.0,0.0,0.59,0.24,1.24,0.0,0.0,0.09,0.44,0.0,0.0,0.0,0.0,0.0,real
30,0.0,0.0,0.34,0.0,0.0,0.61,0.27,1.24,0.0,0.0,0.01,0.43,0.0,0.0,0.0,0.0,0.0,real
31,0.0,0.0,0.34,0.0,0.0,0.58,0.3,1.34,0.0,0.0,0.0,0.36,0.0,0.0,0.08,0.0,0.0,real
32,0.0,0.0,0.37,0.0,0.0,0.58,0.28,1.5,0.0,0.04,0.0,0.32,0.0,0.0,0.15,0.0,0.0,real
33,0.0,0.0,0.43,0.0,0.0,0.51,0.26,1.6,0.0,0.14,0.0,0.19,0.0,0.0,0.33,0.0,0.03,real
34,0.0,0.0,0.43,0.0,0.0,0.42,0.24,1.58,0.0,0.24,0.0,0.1,0.01,0.0,0.44,0.04,0.14,real
35,0.0,0.0,0.46,0.0,0.0,0.33,0.21,1.48,0.0,0.27,0.0,0.0,0.04,0.0,0.48,0.04,0.15,real
36,0.0,0.0,0.47,0.0,0.0,0.34,0.21,1.45,0.0,0.23,0.0,0.0,0.08,0.0,0.41,0.04,0.16,real
37,0.0,0.0,0.51,0.0,0.0,0.36,0.25,1.34,0.0,0.17,0.0,0.02,0.07,0.0,0.22,0.0,0.05,real
38,0.0,0.0,0.48,0.0,0.0,0.45,0.35,1.25,0.02,0.1,0.02,0.15,0.04,0.0,0.11,0.0,0.03,real
39,0.0,0.0,0.39,0.0,0.0,0.47,0.41,1.16,0.04,0.08,0.02,0.3,0.0,0.01,0.0,0.0,0.0,real
40,0.0,0.0,0.29,0.0,0.0,0.4,0.4,1.14,0.06,0.05,0.05,0.43,0.0,0.03,0.0,0.0,0.0,real
41,0.0,0.0,0.25,0.0,0.0,0.28,0.32,1.18,0.04,0.06,0.03,0.4,0.0,0.03,0.0,0.0,0.0,real
42,0.0,0.0,0.31,0.0,0.0,0.19,0.23,1.18,0.03,0.04,0.03,0.4,0.0,0.02,0.0,0.0,0.0,real
43,0.0,0.0,0.36,0.0,0.0,0.35,0.17,1.19,0.0,0.04,0.0,0.38,0.03,0.0,0.0,0.0,0.0,real
44,0.0,0.0,0.39,0.0,0.0,0.44,0.1,1.21,0.0,0.04,0.02,0.44,0.04,0.0,0.0,0.0,0.0,real
45,0.0,0.0,0.45,0.0,0.0,0.57,0.14,1.15,0.0,0.02,0.04,0.48,0.04,0.04,0.0,0.0,0.0,real
46,0.0,0.0,0.52,0.0,0.0,0.51,0.17,1.08,0.0,0.0,0.04,0.55,0.01,0.07,0.0,0.0,0.0,real
47,0.0,0.0,0.54,0.0,0.0,0.47,0.16,1.04,0.0,0.0,0.21,0.46,0.0,0.1,0.0,0.0,0.0,real
