,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.16,0.56,1.01,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.61,2.95,0.0,0.25,0.0,0.32,0.0,real
1,0.08,0.56,1.35,0.0,0.0,1.12,0.0,0.0,0.0,0.75,0.59,2.99,0.01,0.16,0.04,0.53,0.0,real
2,0.02,0.45,1.58,0.0,0.0,1.41,0.0,0.0,0.0,0.91,0.5,2.96,0.01,0.07,0.04,0.6,0.0,real
3,0.02,0.48,2.02,0.0,0.01,1.46,0.0,0.04,0.0,1.05,0.33,2.79,0.0,0.0,0.06,0.63,0.0,real
4,0.03,0.52,2.33,0.0,0.02,1.3,0.0,0.07,0.0,1.11,0.37,2.74,0.0,0.0,0.06,0.48,0.0,real
5,0.06,0.68,2.65,0.0,0.03,1.07,0.0,0.07,0.0,1.22,0.4,2.7,0.0,0.0,0.08,0.44,0.0,real
6,0.06,0.67,2.7,0.0,0.03,1.18,0.0,0.09,0.0,1.25,0.36,2.65,0.0,0.0,0.16,0.44,0.0,real
7,0.08,0.63,2.75,0.0,0.05,1.31,0.0,0.11,0.0,1.15,0.19,2.64,0.0,0.0,0.21,0.46,0.0,real
8,0.05,0.51,2.69,0.0,0.04,1.51,0.0,0.11,0.0,1.08,0.1,2.57,0.0,0.0,0.2,0.55,0.0,real
9,0.04,0.5,2.62,0.0,0.03,1.57,0.0,0.05,0.0,1.09,0.11,2.55,0.0,0.0,0.12,0.6,0.0,real
10,0.01,0.53,2.54,0.0,0.0,1.62,0.0,0.0,0.0,1.12,0.15,2.54,0.0,0.0,0.06,0.67,0.0,real
11,0.01,0.4,2.44,0.0,0.05,1.73,0.06,0.0,0.0,1.04,0.1,2.18,0.0,0.0,0.26,0.5,0.0,real
12,0.0,0.2,2.28,0.0,0.05,1.84,0.08,0.0,0.0,0.93,0.09,1.84,0.0,0.0,0.52,0.36,0.0,real
13,0.0,0.0,1.66,0.0,0.18,1.63,0.08,0.0,0.0,0.57,0.03,1.39,0.0,0.0,0.49,0.15,0.0,real
14,0.0,0.0,1.45,0.07,0.28,1.7,0.06,0.0,0.0,0.28,0.03,1.0,0.0,0.0,0.28,0.15,0.0,real
15,0.0,0.0,1.38,0.07,0.49,1.73,0.11,0.13,0.0,0.05,0.0,0.62,0.0,0.0,0.06,0.07,0.0,real
16,0.0,0.0,1.75,0.07,0.56,2.21,0.14,0.24,0.0,0.17,0.0,0.33,0.0,0.0,0.19,0.07,0.0,real
17,0.0,0.0,1.88,0.0,0.63,2.31,0.1,0.35,0.0,0.28,0.0,0.21,0.0,0.0,0.51,0.0,0.07,real
18,0.0,0.0,1.87,0.0,0.61,2.4,0.03,0.34,0.0,0.31,0.0,0.13,0.0,0.0,0.74,0.0,0.14,real
19,0.0,0.0,1.9,0.0,0.6,2.37,0.0,0.37,0.0,0.25,0.0,0.04,0.0,0.0,0.91,0.0,0.22,real
20,0.0,0.0,1.92,0.0,0.58,2.37,0.0,0.41,0.0,0.18,0.0,0.04,0.0,0.0,0.9,0.0,0.24,real
21,0.0,0.0,1.63,0.06,0.39,2.03,0.0,0.36,0.0,0.1,0.0,0.03,0.0,0.04,1.06,0.25,0.39,real
22,0.0,0.0,1.42,0.13,0.2,1.7,0.0,0.36,0.0,0.04,0.0,0.0,0.0,0.07,1.33,0.59,0.31,real
23,0.0,0.0,1.12,0.13,0.0,1.36,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.1,1.34,0.7,0.22,real
24,0.0,0.0,1.15,0.07,0.0,1.35,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.09,1.24,0.61,0.0,real
25,0.0,0.0,1.21,0.0,0.0,1.38,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.13,1.0,0.73,0.0,real
26,0.0,0.0,1.32,0.0,0.0,1.42,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.11,0.97,1.04,0.0,real
27,0.0,0.0,1.43,0.0,0.0,1.47,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.09,1.06,1.48,0.0,real
28,0.0,0.0,1.48,0.0,0.0,1.45,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.02,1.18,1.66,0.02,real
29,0.0,0.0,1.56,0.0,0.0,1.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.31,1.86,0.02,real
30,0.0,0.0,1.6,0.0,0.0,1.4,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.51,1.95,0.06,real
31,0.0,0.0,1.59,0.12,0.0,1.47,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.03,0.07,real
32,0.0,0.0,1.49,0.21,0.0,1.34,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.84,2.1,0.07,real
33,0.0,0.0,1.43,0.28,0.0,1.18,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1.76,2.08,0.02,real
34,0.0,0.0,1.41,0.21,0.0,1.06,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.68,2.04,0.0,real
35,0.0,0.0,1.44,0.15,0.0,1.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.64,2.04,0.0,real
36,0.0,0.0,1.44,0.08,0.0,1.19,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.01,1.53,2.19,0.0,real
37,0.0,0.0,1.38,0.05,0.0,1.19,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,1.38,2.29,0.0,real
38,0.0,0.0,1.34,0.03,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.43,0.84,2.24,0.0,real
39,0.0,0.0,1.35,0.03,0.0,1.16,0.0,0.05,0.0,0.0,0.0,0.41,0.0,0.41,0.38,1.93,0.0,real
