,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,1.49,0.0,0.23,0.0,0.0,1.05,0.84,0.2,0.26,0.33,0.0,0.93,0.4,1.08,0.0,real
1,0.0,0.0,1.23,0.01,0.42,0.0,0.02,1.38,0.7,0.69,0.09,0.18,0.0,0.33,0.53,0.9,0.0,real
2,0.0,0.0,1.12,0.01,0.54,0.0,0.02,1.52,0.58,1.0,0.0,0.14,0.0,0.02,0.62,0.74,0.0,real
3,0.0,0.0,1.03,0.01,0.61,0.0,0.01,1.42,0.53,1.23,0.0,0.17,0.0,0.0,0.58,0.69,0.0,real
4,0.0,0.0,0.94,0.0,0.61,0.0,0.0,1.23,0.47,1.39,0.0,0.37,0.0,0.0,0.37,0.54,0.0,real
5,0.0,0.0,0.82,0.0,0.57,0.0,0.0,1.07,0.48,1.49,0.0,0.56,0.0,0.01,0.14,0.51,0.0,real
6,0.0,0.0,0.86,0.0,0.51,0.0,0.0,0.97,0.52,1.51,0.0,0.72,0.0,0.05,0.03,0.42,0.0,real
7,0.0,0.0,0.96,0.0,0.49,0.0,0.02,0.96,0.62,1.55,0.0,0.76,0.0,0.11,0.0,0.44,0.0,real
8,0.0,0.0,0.93,0.0,0.44,0.0,0.07,1.0,0.65,1.57,0.0,0.73,0.0,0.17,0.02,0.45,0.0,real
9,0.0,0.0,0.91,0.0,0.48,0.0,0.08,0.94,0.68,1.6,0.0,0.74,0.0,0.22,0.04,0.44,0.0,real
10,0.0,0.0,0.87,0.0,0.5,0.0,0.06,0.86,0.68,1.61,0.0,0.73,0.0,0.24,0.07,0.4,0.0,real
11,0.0,0.0,0.9,0.02,0.54,0.0,0.05,0.75,0.65,1.68,0.0,0.81,0.0,0.22,0.05,0.36,0.0,real
12,0.0,0.0,0.85,0.02,0.54,0.0,0.06,0.83,0.69,1.86,0.0,0.93,0.0,0.25,0.05,0.4,0.0,real
13,0.0,0.0,0.8,0.02,0.51,0.0,0.05,0.94,0.71,1.96,0.0,1.05,0.0,0.27,0.07,0.43,0.0,real
14,0.0,0.0,0.8,0.0,0.5,0.0,0.02,1.04,0.77,2.08,0.0,1.05,0.0,0.33,0.17,0.4,0.0,real
15,0.0,0.0,0.81,0.0,0.47,0.0,0.03,1.04,0.74,2.01,0.0,1.01,0.0,0.36,0.24,0.41,0.0,real
16,0.0,0.0,0.84,0.0,0.45,0.0,0.06,1.02,0.74,2.0,0.0,0.99,0.0,0.39,0.28,0.4,0.0,real
17,0.0,0.0,0.88,0.0,0.42,0.0,0.12,0.97,0.74,2.0,0.0,1.08,0.0,0.44,0.18,0.44,0.0,real
18,0.0,0.0,1.01,0.0,0.36,0.0,0.24,0.86,0.66,1.95,0.0,1.17,0.0,0.43,0.09,0.37,0.0,real
19,0.0,0.0,1.12,0.0,0.3,0.0,0.36,0.77,0.58,1.96,0.0,1.26,0.0,0.46,0.02,0.3,0.0,real
20,0.0,0.0,1.25,0.0,0.26,0.0,0.42,0.74,0.53,1.9,0.0,1.29,0.0,0.47,0.04,0.23,0.0,real
21,0.0,0.0,1.11,0.0,0.24,0.0,0.33,0.77,0.54,1.98,0.0,1.31,0.0,0.48,0.04,0.23,0.0,real
22,0.0,0.0,0.71,0.02,0.24,0.0,0.18,0.82,0.65,2.04,0.0,1.27,0.0,0.38,0.02,0.15,0.05,real
