,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
25,0.0,0.03,0.94,0.0,0.0,0.49,0.05,0.49,0.0,0.32,0.11,0.85,0.08,0.0,0.0,0.85,0.1,real
26,0.0,0.0,0.99,0.0,0.0,0.56,0.09,0.47,0.0,0.36,0.11,0.86,0.1,0.0,0.0,0.99,0.09,real
27,0.0,0.0,1.04,0.0,0.03,0.64,0.05,0.53,0.02,0.43,0.07,0.95,0.13,0.0,0.19,0.96,0.09,real
28,0.0,0.0,1.03,0.0,0.06,0.63,0.04,0.57,0.11,0.66,0.05,1.03,0.21,0.0,0.23,0.87,0.2,real
29,0.0,0.0,0.98,0.0,0.06,0.63,0.0,0.56,0.18,0.99,0.22,1.13,0.28,0.06,0.23,0.6,0.2,real
30,0.0,0.0,0.93,0.0,0.03,0.55,0.0,0.51,0.25,1.2,0.39,1.13,0.3,0.09,0.04,0.35,0.16,real
31,0.0,0.0,0.95,0.0,0.0,0.59,0.0,0.44,0.26,1.11,0.58,1.16,0.17,0.13,0.0,0.12,0.04,real
32,0.0,0.0,0.93,0.0,0.0,0.63,0.0,0.45,0.28,0.95,0.56,1.08,0.13,0.07,0.0,0.05,0.01,real
33,0.0,0.0,0.9,0.0,0.02,0.59,0.0,0.44,0.29,0.81,0.47,1.01,0.08,0.03,0.0,0.0,0.0,real
34,0.0,0.0,0.87,0.0,0.05,0.52,0.0,0.51,0.29,0.82,0.38,0.88,0.18,0.0,0.0,0.0,0.0,real
35,0.0,0.0,0.83,0.0,0.1,0.5,0.0,0.54,0.32,0.83,0.3,0.76,0.23,0.0,0.0,0.0,0.0,real
36,0.0,0.0,0.87,0.0,0.14,0.52,0.02,0.58,0.33,0.83,0.21,0.66,0.32,0.0,0.0,0.0,0.0,real
37,0.0,0.0,0.89,0.0,0.15,0.5,0.02,0.58,0.32,0.84,0.17,0.65,0.26,0.0,0.0,0.0,0.0,real
38,0.0,0.0,0.96,0.0,0.13,0.46,0.02,0.59,0.32,0.87,0.16,0.7,0.21,0.0,0.0,0.0,0.0,real
39,0.0,0.0,0.94,0.0,0.12,0.4,0.0,0.68,0.32,0.86,0.13,0.74,0.21,0.0,0.0,0.0,0.0,real
40,0.0,0.0,0.96,0.0,0.13,0.39,0.0,0.76,0.29,0.86,0.06,0.74,0.3,0.0,0.0,0.0,0.0,real
41,0.0,0.0,0.98,0.0,0.16,0.35,0.02,0.83,0.24,0.87,0.01,0.79,0.35,0.0,0.0,0.0,0.0,real
42,0.0,0.0,1.08,0.0,0.11,0.3,0.02,0.9,0.2,0.98,0.0,0.87,0.3,0.0,0.12,0.23,0.0,real
43,0.0,0.0,1.11,0.0,0.06,0.3,0.02,0.93,0.21,0.94,0.0,0.84,0.21,0.0,0.31,0.6,0.0,real
44,0.0,0.0,1.15,0.0,0.0,0.31,0.0,0.95,0.21,0.88,0.0,0.8,0.14,0.0,0.49,0.98,0.0,real
45,0.0,0.0,1.12,0.0,0.0,0.37,0.0,0.94,0.21,0.81,0.0,0.75,0.06,0.0,0.55,1.13,0.0,real
46,0.0,0.0,1.15,0.0,0.0,0.35,0.0,0.96,0.24,0.83,0.0,0.7,0.04,0.0,0.54,1.16,0.0,real
47,0.0,0.0,1.16,0.0,0.03,0.41,0.0,0.97,0.26,0.82,0.01,0.71,0.01,0.0,0.58,1.2,0.0,real
48,0.0,0.0,1.18,0.0,0.04,0.49,0.0,0.99,0.29,0.75,0.01,0.72,0.01,0.0,0.6,1.24,0.0,real
49,0.0,0.0,1.13,0.0,0.07,0.54,0.0,1.0,0.3,0.7,0.01,0.84,0.0,0.0,0.67,1.26,0.02,real
50,0.0,0.0,1.16,0.0,0.09,0.57,0.0,1.01,0.29,0.63,0.0,0.8,0.0,0.0,0.72,1.26,0.02,real
51,0.0,0.0,1.16,0.0,0.12,0.55,0.0,1.03,0.28,0.56,0.0,0.78,0.0,0.0,0.83,1.28,0.02,real
52,0.0,0.0,1.22,0.0,0.16,0.69,0.04,1.04,0.34,0.38,0.0,0.78,0.0,0.0,0.98,1.6,0.0,real
53,0.0,0.0,1.25,0.0,0.29,0.77,0.16,1.17,0.44,0.3,0.03,0.87,0.0,0.0,0.98,1.97,0.0,real
54,0.0,0.0,1.3,0.0,0.42,0.91,0.3,1.24,0.52,0.23,0.05,0.92,0.0,0.0,0.93,2.32,0.0,real
55,0.0,0.0,1.32,0.0,0.54,0.91,0.38,1.34,0.59,0.37,0.09,0.97,0.0,0.0,0.76,2.32,0.0,real
56,0.0,0.0,1.33,0.0,0.56,0.93,0.37,1.38,0.65,0.46,0.1,0.96,0.0,0.0,0.64,2.22,0.0,real
57,0.0,0.0,1.35,0.0,0.58,0.87,0.33,1.41,0.72,0.59,0.15,0.93,0.0,0.0,0.55,2.05,0.12,real
58,0.01,0.0,1.18,0.0,0.49,0.62,0.34,1.35,0.77,1.03,0.12,0.68,0.0,0.0,0.33,1.31,0.49,real
59,0.01,0.0,1.02,0.0,0.4,0.33,0.32,1.23,0.76,1.38,0.2,0.42,0.0,0.0,0.18,0.62,0.84,real
60,0.01,0.0,0.87,0.0,0.28,0.14,0.29,1.06,0.7,1.52,0.22,0.19,0.0,0.0,0.0,0.0,0.74,real
61,0.01,0.0,0.9,0.0,0.18,0.11,0.25,0.98,0.57,1.25,0.26,0.21,0.0,0.0,0.0,0.0,0.37,real
62,0.0,0.0,0.9,0.0,0.09,0.1,0.15,0.9,0.48,0.99,0.19,0.3,0.0,0.0,0.0,0.0,0.06,real
63,0.0,0.0,0.88,0.0,0.01,0.08,0.13,0.91,0.41,0.92,0.18,0.42,0.0,0.0,0.0,0.0,0.05,real
64,0.0,0.0,0.84,0.0,0.0,0.12,0.08,0.91,0.38,0.8,0.15,0.38,0.0,0.0,0.0,0.0,0.05,real
65,0.02,0.0,0.8,0.0,0.0,0.1,0.08,0.92,0.34,0.78,0.1,0.38,0.0,0.0,0.04,0.0,0.01,real
66,0.08,0.0,0.76,0.0,0.0,0.04,0.04,0.9,0.33,0.67,0.05,0.38,0.0,0.0,0.15,0.0,0.02,real
67,0.1,0.0,0.85,0.0,0.0,0.05,0.0,0.92,0.31,0.47,0.03,0.59,0.0,0.0,0.49,0.46,0.08,real
68,0.09,0.0,0.95,0.0,0.0,0.11,0.0,0.96,0.28,0.25,0.03,0.73,0.0,0.0,0.75,0.86,0.11,real
69,0.04,0.0,1.09,0.0,0.0,0.19,0.0,1.0,0.22,0.04,0.0,0.88,0.0,0.0,1.04,1.55,0.16,real
70,0.05,0.0,1.18,0.0,0.0,0.25,0.0,1.0,0.19,0.02,0.0,0.87,0.0,0.0,1.11,1.79,0.15,real
71,0.05,0.0,1.28,0.0,0.0,0.49,0.0,0.95,0.16,0.0,0.0,0.92,0.0,0.0,1.2,2.12,0.27,real
72,0.05,0.06,1.17,0.11,0.0,0.67,0.0,0.75,0.18,0.36,0.1,1.0,0.03,0.29,0.79,2.01,0.35,real
73,0.02,0.06,1.0,0.11,0.0,0.69,0.0,0.55,0.19,0.64,0.2,1.09,0.09,0.44,0.39,1.49,0.46,real
74,0.0,0.06,0.83,0.11,0.0,0.55,0.0,0.41,0.23,0.94,0.28,1.13,0.12,0.59,0.0,0.91,0.54,real
75,0.0,0.0,0.82,0.0,0.07,0.39,0.0,0.56,0.26,0.98,0.24,1.07,0.1,0.39,0.0,0.35,0.49,real
76,0.0,0.0,0.8,0.0,0.15,0.35,0.0,0.67,0.3,1.08,0.19,1.04,0.05,0.31,0.0,0.17,0.44,real
77,0.0,0.0,0.77,0.0,0.21,0.22,0.0,0.75,0.33,1.17,0.16,1.02,0.04,0.23,0.0,0.01,0.33,real
78,0.0,0.0,0.7,0.0,0.15,0.16,0.0,0.63,0.31,1.04,0.22,1.06,0.09,0.25,0.0,0.0,0.37,real
79,0.0,0.0,0.66,0.05,0.07,0.07,0.0,0.5,0.31,0.72,0.4,1.11,0.23,0.37,0.0,0.0,0.28,real
80,0.0,0.0,0.65,0.05,0.0,0.06,0.0,0.45,0.31,0.53,0.4,0.98,0.25,0.3,0.0,0.0,0.27,real
81,0.0,0.0,0.66,0.05,0.0,0.03,0.0,0.47,0.34,0.48,0.41,0.81,0.29,0.19,0.0,0.0,0.26,real
82,0.0,0.0,0.66,0.0,0.0,0.05,0.0,0.51,0.33,0.56,0.26,0.7,0.24,0.11,0.0,0.0,0.26,real
83,0.0,0.0,0.7,0.0,0.0,0.03,0.0,0.6,0.29,0.55,0.32,0.62,0.23,0.11,0.0,0.0,0.25,real
84,0.0,0.0,0.73,0.0,0.0,0.03,0.0,0.74,0.32,0.49,0.26,0.57,0.29,0.11,0.12,0.19,0.2,real
85,0.0,0.0,0.74,0.03,0.0,0.0,0.0,0.76,0.32,0.37,0.2,0.75,0.35,0.0,0.28,0.84,0.18,real
86,0.0,0.03,0.64,0.1,0.0,0.04,0.0,0.74,0.37,0.17,0.1,1.12,0.42,0.05,0.43,1.57,0.07,real
87,0.0,0.03,0.68,0.1,0.0,0.06,0.0,0.67,0.37,0.06,0.02,1.32,0.32,0.05,0.53,2.04,0.02,real
88,0.0,0.03,0.81,0.16,0.0,0.1,0.01,0.74,0.39,0.14,0.0,1.14,0.21,0.05,0.61,2.07,0.08,real
89,0.0,0.0,1.0,0.12,0.0,0.16,0.01,0.75,0.36,0.32,0.0,0.88,0.15,0.0,0.69,1.86,0.16,real
90,0.0,0.0,1.06,0.21,0.0,0.2,0.01,0.74,0.32,0.47,0.0,0.76,0.17,0.0,0.64,1.75,0.24,real
91,0.0,0.0,0.98,0.12,0.0,0.23,0.0,0.62,0.34,0.79,0.05,0.68,0.12,0.05,0.4,1.15,0.25,real
92,0.0,0.01,0.83,0.09,0.0,0.12,0.0,0.55,0.35,1.05,0.14,0.62,0.06,0.05,0.18,0.63,0.18,real
93,0.0,0.07,0.71,0.0,0.0,0.06,0.03,0.65,0.33,1.16,0.24,0.58,0.0,0.05,0.0,0.09,0.14,real
94,0.0,0.1,0.7,0.0,0.0,0.0,0.07,0.81,0.27,1.03,0.3,0.58,0.0,0.0,0.0,0.0,0.1,real
95,0.0,0.08,0.77,0.0,0.0,0.0,0.09,0.85,0.25,0.88,0.29,0.61,0.0,0.0,0.0,0.0,0.2,real
96,0.0,0.03,0.79,0.0,0.0,0.0,0.07,0.68,0.31,0.89,0.39,0.65,0.0,0.08,0.0,0.0,0.2,real
97,0.0,0.0,0.7,0.0,0.0,0.0,0.03,0.53,0.37,0.68,0.43,0.79,0.0,0.29,0.0,0.06,0.17,real
98,0.11,0.28,0.54,0.05,0.0,0.04,0.0,0.59,0.44,0.6,0.37,0.85,0.05,0.29,0.09,0.2,0.15,real
99,0.25,0.53,0.47,0.11,0.0,0.08,0.0,0.71,0.43,0.49,0.26,0.94,0.15,0.2,0.21,0.39,0.17,real
100,0.56,0.98,0.4,0.13,0.0,0.08,0.0,0.76,0.52,0.56,0.19,1.05,0.33,0.01,0.29,0.57,0.2,real
101,0.79,1.18,0.29,0.1,0.0,0.04,0.0,0.57,0.61,0.57,0.16,1.05,0.37,0.04,0.36,0.65,0.21,real
102,1.02,1.43,0.19,0.04,0.0,0.0,0.0,0.61,0.73,0.66,0.07,0.94,0.35,0.04,0.39,0.56,0.24,real
103,1.04,1.42,0.17,0.01,0.0,0.01,0.0,0.61,0.73,0.98,0.04,0.69,0.29,0.03,0.31,0.32,0.39,real
104,1.08,1.39,0.2,0.04,0.0,0.01,0.0,0.68,0.69,1.24,0.05,0.6,0.31,0.0,0.14,0.1,0.43,real
105,1.0,1.15,0.22,0.06,0.0,0.01,0.0,0.61,0.64,1.35,0.05,0.52,0.29,0.0,0.05,0.0,0.32,real
106,0.73,0.84,0.27,0.19,0.0,0.0,0.0,0.57,0.6,1.14,0.01,0.57,0.31,0.04,0.05,0.0,0.18,real
107,0.49,0.46,0.38,0.2,0.0,0.0,0.0,0.74,0.58,1.07,0.0,0.54,0.2,0.04,0.09,0.0,0.11,real
108,0.29,0.25,0.45,0.22,0.0,0.0,0.0,0.87,0.55,1.08,0.06,0.51,0.15,0.04,0.08,0.0,0.13,real
109,0.33,0.2,0.53,0.17,0.0,0.0,0.0,1.07,0.52,1.29,0.12,0.36,0.0,0.0,0.08,0.0,0.18,real
110,0.25,0.21,0.53,0.13,0.0,0.0,0.0,0.96,0.45,1.19,0.23,0.3,0.0,0.0,0.04,0.0,0.2,real
111,0.21,0.22,0.54,0.08,0.0,0.0,0.0,0.82,0.39,1.06,0.25,0.27,0.0,0.0,0.0,0.0,0.26,real
112,0.12,0.2,0.44,0.16,0.0,0.07,0.0,0.51,0.24,0.59,0.27,0.39,0.0,0.01,0.0,0.12,0.25,real
113,0.07,0.21,0.41,0.33,0.0,0.1,0.0,0.38,0.19,0.3,0.24,0.75,0.0,0.16,0.0,0.37,0.18,real
114,0.06,0.18,0.37,0.54,0.0,0.22,0.0,0.3,0.14,0.03,0.27,0.95,0.0,0.16,0.0,0.68,0.21,real
115,0.1,0.22,0.46,0.45,0.0,0.27,0.0,0.44,0.26,0.24,0.28,0.88,0.0,0.14,0.04,0.56,0.27,real
116,0.12,0.19,0.54,0.38,0.0,0.23,0.0,0.58,0.36,0.6,0.19,0.51,0.04,0.0,0.12,0.31,0.4,real
117,0.17,0.22,0.57,0.2,0.0,0.11,0.0,0.67,0.47,0.85,0.08,0.31,0.04,0.0,0.28,0.11,0.44,real
118,0.12,0.16,0.51,0.12,0.0,0.0,0.0,0.62,0.51,0.74,0.0,0.35,0.11,0.05,0.43,0.28,0.34,real
119,0.09,0.13,0.46,0.03,0.01,0.0,0.0,0.51,0.49,0.46,0.0,0.53,0.18,0.14,0.53,0.48,0.25,real
120,0.03,0.16,0.5,0.02,0.05,0.0,0.0,0.62,0.5,0.46,0.02,0.59,0.19,0.14,0.53,0.52,0.2,real
121,0.09,0.13,0.51,0.03,0.05,0.0,0.0,0.66,0.5,0.64,0.02,0.43,0.15,0.09,0.58,0.44,0.32,real
122,0.09,0.11,0.47,0.07,0.05,0.0,0.0,0.55,0.5,0.72,0.05,0.18,0.04,0.07,0.61,0.27,0.34,real
123,0.06,0.03,0.34,0.15,0.0,0.0,0.0,0.23,0.48,0.53,0.08,0.04,0.1,0.21,0.58,0.14,0.27,real
124,0.0,0.0,0.34,0.14,0.0,0.0,0.0,0.22,0.51,0.55,0.08,0.07,0.1,0.21,0.46,0.08,0.18,real
125,0.0,0.0,0.34,0.09,0.01,0.0,0.0,0.4,0.55,0.71,0.04,0.13,0.14,0.14,0.39,0.05,0.14,real
126,0.05,0.0,0.39,0.0,0.01,0.0,0.0,0.52,0.56,0.87,0.0,0.15,0.13,0.0,0.43,0.04,0.2,real
127,0.24,0.27,0.42,0.14,0.04,0.01,0.0,0.79,0.61,0.64,0.0,0.69,0.14,0.0,0.53,0.5,0.15,real
128,0.7,0.68,0.49,0.34,0.1,0.07,0.0,1.03,0.68,0.43,0.0,1.13,0.1,0.0,0.74,1.16,0.25,real
129,1.14,1.07,0.6,0.52,0.15,0.18,0.0,1.36,0.74,0.24,0.0,1.66,0.04,0.0,0.9,1.75,0.29,real
130,1.44,1.28,0.55,0.69,0.11,0.17,0.0,1.32,0.72,0.29,0.0,1.72,0.0,0.0,1.0,2.04,0.26,real
131,1.4,1.22,0.39,0.69,0.04,0.11,0.0,1.2,0.65,0.28,0.0,1.89,0.0,0.0,0.88,2.15,0.18,real
132,1.43,1.26,0.22,0.72,0.0,0.0,0.0,1.14,0.65,0.46,0.0,2.12,0.0,0.0,0.7,2.35,0.13,real
133,1.44,1.15,0.19,0.69,0.0,0.04,0.0,1.06,0.61,0.64,0.0,2.14,0.0,0.0,0.54,2.35,0.22,real
134,1.51,1.2,0.21,0.76,0.0,0.09,0.0,1.03,0.61,0.81,0.0,2.13,0.0,0.0,0.46,2.3,0.26,real
135,1.49,1.14,0.19,0.83,0.0,0.16,0.0,0.93,0.59,0.85,0.0,2.04,0.0,0.0,0.44,2.21,0.28,real
136,1.21,1.05,0.21,0.77,0.0,0.11,0.0,0.92,0.62,0.78,0.0,1.92,0.0,0.07,0.57,2.15,0.29,real
137,0.82,0.76,0.25,0.7,0.0,0.07,0.0,0.91,0.65,0.74,0.03,1.76,0.0,0.22,0.75,2.12,0.26,real
138,0.39,0.55,0.31,0.57,0.0,0.08,0.0,0.96,0.66,0.68,0.06,1.58,0.0,0.45,0.8,1.97,0.23,real
139,0.19,0.4,0.3,0.6,0.0,0.19,0.0,0.93,0.65,0.72,0.09,1.55,0.0,0.6,0.72,1.86,0.21,real
140,0.19,0.36,0.39,0.57,0.0,0.19,0.0,0.91,0.63,0.77,0.1,1.51,0.0,0.53,0.61,1.68,0.27,real
141,0.13,0.26,0.46,0.52,0.0,0.11,0.0,0.81,0.62,0.81,0.07,1.5,0.0,0.51,0.62,1.49,0.22,real
142,0.1,0.21,0.51,0.41,0.0,0.03,0.0,0.75,0.63,0.82,0.07,1.5,0.0,0.54,0.61,1.24,0.14,real
143,0.0,0.2,0.45,0.33,0.0,0.03,0.0,0.74,0.65,0.8,0.11,1.57,0.01,0.72,0.61,1.05,0.0,real
144,0.0,0.21,0.44,0.32,0.0,0.03,0.0,0.81,0.64,0.94,0.19,1.54,0.05,0.62,0.63,1.05,0.0,real
145,0.0,0.33,0.32,0.19,0.0,0.0,0.0,0.92,0.63,0.92,0.19,1.52,0.12,0.47,0.76,1.1,0.34,real
146,0.04,0.55,0.2,0.18,0.0,0.0,0.0,0.97,0.6,0.77,0.24,1.44,0.11,0.31,0.89,1.33,0.88,real
147,0.04,0.69,0.08,0.2,0.0,0.0,0.0,0.96,0.63,0.5,0.31,1.45,0.09,0.38,1.0,1.55,1.17,real
148,0.04,0.57,0.2,0.2,0.0,0.0,0.0,0.93,0.57,0.52,0.31,1.42,0.03,0.36,0.94,1.62,0.83,real
149,0.0,0.36,0.34,0.11,0.0,0.0,0.0,0.91,0.56,0.6,0.22,1.49,0.03,0.46,0.92,1.63,0.34,real
150,0.0,0.26,0.44,0.0,0.0,0.0,0.0,0.91,0.52,0.61,0.1,1.56,0.0,0.54,0.87,1.62,0.06,real
151,0.0,0.29,0.48,0.0,0.0,0.0,0.0,0.93,0.54,0.63,0.09,1.62,0.0,0.57,0.89,1.71,0.08,real
152,0.0,0.29,0.44,0.01,0.0,0.04,0.0,0.91,0.54,0.54,0.07,1.64,0.0,0.62,0.86,1.69,0.02,real
153,0.0,0.23,0.37,0.01,0.09,0.09,0.0,0.92,0.7,0.86,0.04,1.07,0.0,0.5,0.75,1.19,0.17,real
154,0.0,0.17,0.3,0.01,0.17,0.19,0.0,0.92,0.87,1.07,0.0,0.54,0.0,0.43,0.64,0.67,0.29,real
155,0.0,0.26,0.31,0.0,0.3,0.15,0.0,1.04,1.08,1.59,0.04,0.0,0.0,0.27,0.64,0.13,0.43,real
156,0.0,0.37,0.35,0.0,0.38,0.1,0.0,1.1,1.13,1.64,0.04,0.0,0.09,0.14,0.65,0.03,0.28,real
157,0.0,0.44,0.38,0.0,0.47,0.0,0.0,1.13,1.19,1.7,0.04,0.0,0.17,0.1,0.66,0.0,0.14,real
158,0.08,0.48,0.37,0.0,0.59,0.19,0.0,1.09,1.24,1.28,0.0,0.0,0.17,0.02,0.63,0.35,0.0,real
159,0.15,0.52,0.38,0.0,0.67,0.42,0.0,1.12,1.31,1.0,0.0,0.0,0.09,0.01,0.69,0.69,0.0,real
160,0.22,0.56,0.29,0.0,0.76,0.56,0.0,1.11,1.35,0.64,0.0,0.0,0.0,0.0,0.75,1.0,0.0,real
161,0.19,0.38,0.19,0.0,0.73,0.37,0.0,1.09,1.38,0.57,0.0,0.0,0.0,0.0,0.71,0.89,0.0,real
162,0.12,0.2,0.06,0.0,0.69,0.14,0.0,1.02,1.41,0.37,0.0,0.0,0.0,0.0,0.61,0.77,0.0,real
163,0.06,0.03,0.0,0.0,0.63,0.0,0.0,0.95,1.44,0.26,0.0,0.0,0.0,0.0,0.53,0.66,0.0,real
164,0.0,0.0,0.0,0.0,0.58,0.06,0.0,0.92,1.41,0.14,0.0,0.0,0.0,0.0,0.48,0.61,0.0,real
165,0.0,0.0,0.0,0.0,0.59,0.06,0.0,0.94,1.38,0.11,0.0,0.0,0.0,0.0,0.38,0.4,0.0,real
166,0.0,0.0,0.0,0.0,0.64,0.06,0.0,1.03,1.38,0.03,0.0,0.0,0.0,0.0,0.21,0.23,0.0,real
167,0.0,0.0,0.0,0.0,0.67,0.0,0.0,1.09,1.43,0.02,0.0,0.0,0.0,0.0,0.13,0.12,0.0,real
168,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.16,1.49,0.14,0.0,0.0,0.0,0.0,0.17,0.21,0.0,real
169,0.0,0.0,0.04,0.0,0.76,0.0,0.0,1.26,1.55,0.4,0.0,0.0,0.0,0.0,0.41,0.27,0.0,real
170,0.0,0.0,0.06,0.0,0.85,0.0,0.0,1.35,1.57,0.61,0.0,0.0,0.0,0.0,0.55,0.32,0.0,real
171,0.0,0.0,0.14,0.0,0.9,0.0,0.06,1.5,1.59,0.6,0.0,0.0,0.0,0.0,0.7,0.3,0.0,real
172,0.0,0.0,0.17,0.0,0.88,0.0,0.11,1.63,1.63,0.49,0.0,0.0,0.0,0.0,0.7,0.43,0.0,real
173,0.0,0.0,0.22,0.0,0.87,0.02,0.17,1.76,1.68,0.39,0.0,0.0,0.0,0.0,0.77,0.51,0.0,real
174,0.0,0.0,0.32,0.0,0.87,0.02,0.19,1.89,1.65,0.38,0.11,0.0,0.0,0.0,0.77,0.73,0.0,real
175,0.0,0.0,0.52,0.0,0.88,0.13,0.17,1.99,1.57,0.3,0.19,0.0,0.0,0.0,0.69,0.97,0.0,real
176,0.0,0.03,0.7,0.0,0.88,0.22,0.18,2.01,1.43,0.19,0.35,0.0,0.0,0.0,0.75,1.3,0.0,real
177,0.02,0.03,0.69,0.0,0.81,0.35,0.14,1.87,1.29,0.07,0.35,0.08,0.0,0.0,0.83,1.78,0.0,real
178,0.1,0.03,0.59,0.0,0.75,0.4,0.15,1.69,1.17,0.0,0.38,0.13,0.0,0.0,0.9,2.18,0.0,real
179,0.16,0.0,0.4,0.0,0.59,0.29,0.08,1.37,0.96,0.0,0.25,0.31,0.0,0.0,0.57,2.13,0.0,real
180,0.19,0.01,0.3,0.0,0.52,0.25,0.04,1.11,0.82,0.0,0.15,0.3,0.0,0.0,0.25,1.5,0.0,real
181,0.11,0.01,0.12,0.0,0.48,0.09,0.04,0.82,0.65,0.0,0.03,0.25,0.0,0.0,0.0,0.64,0.0,real
182,0.05,0.01,0.06,0.0,0.54,0.09,0.07,0.77,0.61,0.0,0.0,0.11,0.0,0.0,0.0,0.16,0.0,real
183,0.1,0.0,0.12,0.0,0.74,0.14,0.17,0.79,0.73,0.0,0.0,0.03,0.0,0.0,0.2,0.13,0.0,real
184,0.2,0.0,0.22,0.0,0.88,0.31,0.22,0.85,0.87,0.0,0.0,0.05,0.0,0.0,0.42,0.28,0.0,real
185,0.31,0.0,0.32,0.0,1.01,0.46,0.35,1.03,0.98,0.0,0.0,0.01,0.0,0.0,0.59,0.44,0.05,real
186,0.24,0.0,0.28,0.0,0.97,0.51,0.45,1.13,0.92,0.0,0.0,0.04,0.0,0.0,0.44,0.31,0.05,real
187,0.18,0.0,0.28,0.0,0.86,0.51,0.48,1.1,0.74,0.0,0.0,0.06,0.0,0.0,0.22,0.16,0.05,real
188,0.07,0.0,0.27,0.0,0.79,0.58,0.46,0.93,0.61,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,real
189,0.09,0.0,0.34,0.0,0.71,0.67,0.38,0.81,0.52,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,real
190,0.2,0.0,0.4,0.0,0.64,0.62,0.4,0.84,0.5,0.0,0.0,0.07,0.0,0.0,0.0,0.09,0.01,real
